Year,Region,Jurisdiction,Source,ProductionMMcf,Prod_Bcf
2014,Alaska,State,Oil Wells,342482,342.482
2015,Alaska,State,Oil Wells,354196,354.196
2016,Alaska,State,Oil Wells,344708,344.708
2017,Alaska,State,Oil Wells,356088,356.088
2018,Alaska,State,Oil Wells,351625,351.625
2019,Alaska,State,Oil Wells,352181,352.181
2020,Alaska,State,Oil Wells,367154,367.154
2021,Alaska,State,Oil Wells,,
,,,,,
1977,California,All,All,5417,5.417
1978,California,All,All,19929,19.929
1979,California,All,All,20394,20.394
1980,California,All,All,19980,19.98
1981,California,All,All,26692,26.692
1982,California,All,All,31904,31.904
1983,California,All,All,38084,38.084
1984,California,All,All,60207,60.207
1985,California,All,All,84062,84.062
1986,California,All,All,77355,77.355
1987,California,All,All,67835,67.835
1988,California,All,All,60308,60.308
1989,California,All,All,59889,59.889
1990,California,All,All,58055,58.055
1991,California,All,All,59465,59.465
1992,California,All,All,62473,62.473
1993,California,All,All,58635,58.635
1994,California,All,All,60765,60.765
1995,California,All,All,60694,60.694
1996,California,All,All,73092,73.092
1997,California,All,All,80516,80.516
1998,California,All,All,81868,81.868
1999,California,All,All,84547,84.547
2000,California,All,All,83882,83.882
2001,California,All,All,78209,78.209
2002,California,All,All,74884,74.884
2003,California,All,All,64961,64.961
2004,California,All,All,61622,61.622
2005,California,All,All,60773,60.773
2006,California,All,All,47217,47.217
2007,California,All,All,52805,52.805
2008,California,All,All,51931,51.931
2009,California,All,All,47281,47.281
2010,California,All,All,46755,46.755
2011,California,All,All,41742,41.742
2012,California,All,All,32313,32.313
2013,California,All,All,32924,32.924
2014,California,All,All,20320,20.32
2015,California,All,All,19877,19.877
2016,California,All,All,8984,8.984
2017,California,All,All,8480,8.48
2018,California,All,All,4827,4.827
2019,California,All,All,6995,6.995
2020,California,All,All,6518,6.518
2021,California,All,All,,
,California,,,,
1977,California,State,All,,
1978,California,State,All,14763,14.763
1979,California,State,All,14963,14.963
1980,California,State,All,14080,14.08
1981,California,State,All,13929,13.929
1982,California,State,All,14153,14.153
1983,California,State,All,13916,13.916
1984,California,State,All,13844,13.844
1985,California,State,All,19504,19.504
1986,California,State,All,18277,18.277
1987,California,State,All,13030,13.03
1988,California,State,All,11141,11.141
1989,California,State,All,9098,9.098
1990,California,State,All,8083,8.083
1991,California,State,All,7610,7.61
1992,California,State,All,7242,7.242
1993,California,State,All,6484,6.484
1994,California,State,All,7204,7.204
1995,California,State,All,5904,5.904
1996,California,State,All,6309,6.309
1997,California,State,All,7171,7.171
1998,California,State,All,6883,6.883
1999,California,State,All,6738,6.738
2000,California,State,All,7808,7.808
2001,California,State,All,7262,7.262
2002,California,State,All,7068,7.068
2003,California,State,All,6866,6.866
2004,California,State,All,6966,6.966
2005,California,State,All,6685,6.685
2006,California,State,All,6809,6.809
2007,California,State,All,7289,7.289
2008,California,State,All,7029,7.029
2009,California,State,All,6052,6.052
2010,California,State,All,5554,5.554
2011,California,State,All,5163,5.163
2012,California,State,All,5051,5.051
2013,California,State,All,5470,5.47
2014,California,State,All,5805,5.805
2015,California,State,All,5129,5.129
2016,California,State,All,4485,4.485
2017,California,State,All,4530,4.53
2018,California,State,All,1399,1.399
2019,California,State,All,4119,4.119
2020,California,State,All,3766,3.766
2021,California,State,All,,
,,,,,
1977,California,State,Gas Wells,,
1978,California,State,Gas Wells,3537,3.537
1979,California,State,Gas Wells,2134,2.134
1980,California,State,Gas Wells,2446,2.446
1981,California,State,Gas Wells,2170,2.17
1982,California,State,Gas Wells,1931,1.931
1983,California,State,Gas Wells,1799,1.799
1984,California,State,Gas Wells,1319,1.319
1985,California,State,Gas Wells,6126,6.126
1986,California,State,Gas Wells,5342,5.342
1987,California,State,Gas Wells,2068,2.068
1988,California,State,Gas Wells,1413,1.413
1989,California,State,Gas Wells,855,0.855
1990,California,State,Gas Wells,340,0.34
1991,California,State,Gas Wells,,
1992,California,State,Gas Wells,,
1993,California,State,Gas Wells,,
1994,California,State,Gas Wells,,
1995,California,State,Gas Wells,,
1996,California,State,Gas Wells,,
1997,California,State,Gas Wells,,
1998,California,State,Gas Wells,,
1999,California,State,Gas Wells,,
2000,California,State,Gas Wells,,
2001,California,State,Gas Wells,,
2002,California,State,Gas Wells,,
2003,California,State,Gas Wells,,
2004,California,State,Gas Wells,,
2005,California,State,Gas Wells,,
2006,California,State,Gas Wells,156,0.156
2007,California,State,Gas Wells,312,0.312
2008,California,State,Gas Wells,266,0.266
2009,California,State,Gas Wells,582,0.582
2010,California,State,Gas Wells,71,0.071
2011,California,State,Gas Wells,259,0.259
2012,California,State,Gas Wells,640,0.64
2013,California,State,Gas Wells,413,0.413
2014,California,State,Gas Wells,410,0.41
2015,California,State,Gas Wells,452,0.452
2016,California,State,Gas Wells,305,0.305
2017,California,State,Gas Wells,115,0.115
2018,California,State,Gas Wells,70,0.07
2019,California,State,Gas Wells,191,0.191
2020,California,State,Gas Wells,228,0.228
2021,California,State,Gas Wells,,
,,,,,
1977,California,State,Oil Wells,,
1978,California,State,Oil Wells,11226,11.226
1979,California,State,Oil Wells,12829,12.829
1980,California,State,Oil Wells,11634,11.634
1981,California,State,Oil Wells,11759,11.759
1982,California,State,Oil Wells,12222,12.222
1983,California,State,Oil Wells,12117,12.117
1984,California,State,Oil Wells,12525,12.525
1985,California,State,Oil Wells,13378,13.378
1986,California,State,Oil Wells,12935,12.935
1987,California,State,Oil Wells,10962,10.962
1988,California,State,Oil Wells,9728,9.728
1989,California,State,Oil Wells,8243,8.243
1990,California,State,Oil Wells,7743,7.743
1991,California,State,Oil Wells,7610,7.61
1992,California,State,Oil Wells,7242,7.242
1993,California,State,Oil Wells,6484,6.484
1994,California,State,Oil Wells,7204,7.204
1995,California,State,Oil Wells,5904,5.904
1996,California,State,Oil Wells,6309,6.309
1997,California,State,Oil Wells,7171,7.171
1998,California,State,Oil Wells,6883,6.883
1999,California,State,Oil Wells,6738,6.738
2000,California,State,Oil Wells,7808,7.808
2001,California,State,Oil Wells,7262,7.262
2002,California,State,Oil Wells,7068,7.068
2003,California,State,Oil Wells,6866,6.866
2004,California,State,Oil Wells,6966,6.966
2005,California,State,Oil Wells,6685,6.685
2006,California,State,Oil Wells,6654,6.654
2007,California,State,Oil Wells,6977,6.977
2008,California,State,Oil Wells,6764,6.764
2009,California,State,Oil Wells,5470,5.47
2010,California,State,Oil Wells,5483,5.483
2011,California,State,Oil Wells,4904,4.904
2012,California,State,Oil Wells,4411,4.411
2013,California,State,Oil Wells,5057,5.057
2014,California,State,Oil Wells,5395,5.395
2015,California,State,Oil Wells,4677,4.677
2016,California,State,Oil Wells,4181,4.181
2017,California,State,Oil Wells,4415,4.415
2018,California,State,Oil Wells,1329,1.329
2019,California,State,Oil Wells,3928,3.928
2020,California,State,Oil Wells,3539,3.539
2021,California,State,Oil Wells,,
,,,,,
1977,California,Federal,All,,
1978,California,Federal,All,,
1979,California,Federal,All,,
1980,California,Federal,All,,
1981,California,Federal,All,,
1982,California,Federal,All,,
1983,California,Federal,All,3986,3.986
1984,California,Federal,All,18920,18.92
1985,California,Federal,All,31227,31.227
1986,California,Federal,All,27279,27.279
1987,California,Federal,All,23425,23.425
1988,California,Federal,All,17931,17.931
1989,California,Federal,All,12246,12.246
1990,California,Federal,All,15640,15.64
1991,California,Federal,All,16464,16.464
1992,California,Federal,All,13947,13.947
1993,California,Federal,All,10618,10.618
1994,California,Federal,All,11064,11.064
1995,California,Federal,All,7874,7.874
1996,California,Federal,All,5508,5.508
1997,California,Federal,All,4260,4.26
1998,California,Federal,All,3966,3.966
1999,California,Federal,All,2775,2.775
2000,California,Federal,All,7323,7.323
2001,California,Federal,All,3913,3.913
2002,California,Federal,All,3080,3.08
2003,California,Federal,All,1731,1.731
2004,California,Federal,All,850,0.85
2005,California,Federal,All,684,0.684
2006,California,Federal,All,2094,2.094
2007,California,Federal,All,2137,2.137
2008,California,Federal,All,1601,1.601
2009,California,Federal,All,1206,1.206
2010,California,Federal,All,1757,1.757
2011,California,Federal,All,1560,1.56
2012,California,Federal,All,14559,14.559
2013,California,Federal,All,14296,14.296
2014,California,Federal,All,7007,7.007
2015,California,Federal,All,6145,6.145
2016,California,Federal,All,896,0.896
2017,California,Federal,All,804,0.804
2018,California,Federal,All,757,0.757
2019,California,Federal,All,627,0.627
2020,California,Federal,All,593,0.593
2021,California,Federal,All,,
,California,,,,
1977,California,Federal,Gas Wells,,
1978,California,Federal,Gas Wells,,
1979,California,Federal,Gas Wells,,
1980,California,Federal,Gas Wells,,
1981,California,Federal,Gas Wells,,
1982,California,Federal,Gas Wells,,
1983,California,Federal,Gas Wells,3986,3.986
1984,California,Federal,Gas Wells,18920,18.92
1985,California,Federal,Gas Wells,31227,31.227
1986,California,Federal,Gas Wells,27279,27.279
1987,California,Federal,Gas Wells,23425,23.425
1988,California,Federal,Gas Wells,17931,17.931
1989,California,Federal,Gas Wells,12246,12.246
1990,California,Federal,Gas Wells,15640,15.64
1991,California,Federal,Gas Wells,16464,16.464
1992,California,Federal,Gas Wells,13947,13.947
1993,California,Federal,Gas Wells,10618,10.618
1994,California,Federal,Gas Wells,11064,11.064
1995,California,Federal,Gas Wells,7874,7.874
1996,California,Federal,Gas Wells,5508,5.508
1997,California,Federal,Gas Wells,4260,4.26
1998,California,Federal,Gas Wells,3966,3.966
1999,California,Federal,Gas Wells,2775,2.775
2000,California,Federal,Gas Wells,7323,7.323
2001,California,Federal,Gas Wells,3913,3.913
2002,California,Federal,Gas Wells,3080,3.08
2003,California,Federal,Gas Wells,1731,1.731
2004,California,Federal,Gas Wells,850,0.85
2005,California,Federal,Gas Wells,684,0.684
2006,California,Federal,Gas Wells,2094,2.094
2007,California,Federal,Gas Wells,2137,2.137
2008,California,Federal,Gas Wells,1601,1.601
2009,California,Federal,Gas Wells,1206,1.206
2010,California,Federal,Gas Wells,1757,1.757
2011,California,Federal,Gas Wells,1560,1.56
2012,California,Federal,Gas Wells,14559,14.559
2013,California,Federal,Gas Wells,14296,14.296
2014,California,Federal,Gas Wells,7007,7.007
2015,California,Federal,Gas Wells,6145,6.145
2016,California,Federal,Gas Wells,896,0.896
2017,California,Federal,Gas Wells,804,0.804
2018,California,Federal,Gas Wells,757,0.757
2019,California,Federal,Gas Wells,627,0.627
2020,California,Federal,Gas Wells,593,0.593
2021,California,Federal,Gas Wells,,
,,,,,
1977,California,Federal,Oil Wells,5417,5.417
1978,California,Federal,Oil Wells,5166,5.166
1979,California,Federal,Oil Wells,5431,5.431
1980,California,Federal,Oil Wells,5900,5.9
1981,California,Federal,Oil Wells,12763,12.763
1982,California,Federal,Oil Wells,17751,17.751
1983,California,Federal,Oil Wells,20182,20.182
1984,California,Federal,Oil Wells,27443,27.443
1985,California,Federal,Oil Wells,33331,33.331
1986,California,Federal,Oil Wells,31799,31.799
1987,California,Federal,Oil Wells,31380,31.38
1988,California,Federal,Oil Wells,31236,31.236
1989,California,Federal,Oil Wells,38545,38.545
1990,California,Federal,Oil Wells,34332,34.332
1991,California,Federal,Oil Wells,35391,35.391
1992,California,Federal,Oil Wells,41284,41.284
1993,California,Federal,Oil Wells,41532,41.532
1994,California,Federal,Oil Wells,42497,42.497
1995,California,Federal,Oil Wells,46916,46.916
1996,California,Federal,Oil Wells,61276,61.276
1997,California,Federal,Oil Wells,69084,69.084
1998,California,Federal,Oil Wells,71019,71.019
1999,California,Federal,Oil Wells,75034,75.034
2000,California,Federal,Oil Wells,68752,68.752
2001,California,Federal,Oil Wells,67034,67.034
2002,California,Federal,Oil Wells,64735,64.735
2003,California,Federal,Oil Wells,56363,56.363
2004,California,Federal,Oil Wells,53805,53.805
2005,California,Federal,Oil Wells,53404,53.404
2006,California,Federal,Oil Wells,38313,38.313
2007,California,Federal,Oil Wells,43379,43.379
2008,California,Federal,Oil Wells,43300,43.3
2009,California,Federal,Oil Wells,40023,40.023
2010,California,Federal,Oil Wells,39444,39.444
2011,California,Federal,Oil Wells,35020,35.02
2012,California,Federal,Oil Wells,12703,12.703
2013,California,Federal,Oil Wells,13158,13.158
2014,California,Federal,Oil Wells,7508,7.508
2015,California,Federal,Oil Wells,8603,8.603
2016,California,Federal,Oil Wells,3603,3.603
2017,California,Federal,Oil Wells,3146,3.146
2018,California,Federal,Oil Wells,2671,2.671
2019,California,Federal,Oil Wells,2249,2.249
2020,California,Federal,Oil Wells,2158,2.158
2021,California,Federal,Oil Wells,,
,,,,,
1977,Gulf of Mexico,All,Gas Wells,,
1978,Gulf of Mexico,All,Gas Wells,,
1979,Gulf of Mexico,All,Gas Wells,,
1980,Gulf of Mexico,All,Gas Wells,,
1981,Gulf of Mexico,All,Gas Wells,,
1982,Gulf of Mexico,All,Gas Wells,,
1983,Gulf of Mexico,All,Gas Wells,,
1984,Gulf of Mexico,All,Gas Wells,,
1985,Gulf of Mexico,All,Gas Wells,,
1986,Gulf of Mexico,All,Gas Wells,,
1987,Gulf of Mexico,All,Gas Wells,,
1988,Gulf of Mexico,All,Gas Wells,,
1989,Gulf of Mexico,All,Gas Wells,,
1990,Gulf of Mexico,All,Gas Wells,,
1991,Gulf of Mexico,All,Gas Wells,,
1992,Gulf of Mexico,All,Gas Wells,,
1993,Gulf of Mexico,All,Gas Wells,,
1994,Gulf of Mexico,All,Gas Wells,,
1995,Gulf of Mexico,All,Gas Wells,,
1996,Gulf of Mexico,All,Gas Wells,,
1997,Gulf of Mexico,All,Gas Wells,,
1998,Gulf of Mexico,All,Gas Wells,,
1999,Gulf of Mexico,All,Gas Wells,,
2000,Gulf of Mexico,All,Gas Wells,,
2001,Gulf of Mexico,All,Gas Wells,5066015,5066.015
2002,Gulf of Mexico,All,Gas Wells,4547627,4547.627
2003,Gulf of Mexico,All,Gas Wells,4447348,4447.348
2004,Gulf of Mexico,All,Gas Wells,4000685,4000.685
2005,Gulf of Mexico,All,Gas Wells,3150818,3150.818
2006,Gulf of Mexico,All,Gas Wells,2914131,2914.131
2007,Gulf of Mexico,All,Gas Wells,2813197,2813.197
2008,Gulf of Mexico,All,Gas Wells,2329955,2329.955
2009,Gulf of Mexico,All,Gas Wells,2444102,2444.102
2010,Gulf of Mexico,All,Gas Wells,2259144,2259.144
2011,Gulf of Mexico,All,Gas Wells,1830913,1830.913
2012,Gulf of Mexico,All,Gas Wells,1527875,1527.875
2013,Gulf of Mexico,All,Gas Wells,1326697,1326.697
2014,Gulf of Mexico,All,Gas Wells,1275738,1275.738
2015,Gulf of Mexico,All,Gas Wells,1307641,1307.641
2016,Gulf of Mexico,All,Gas Wells,1220656,1220.656
2017,Gulf of Mexico,All,Gas Wells,1078218,1078.218
2018,Gulf of Mexico,All,Gas Wells,992704,992.704
2019,Gulf of Mexico,All,Gas Wells,1034038,1034.038
2020,Gulf of Mexico,All,Gas Wells,805010,805.01
2021,Gulf of Mexico,All,Gas Wells,,
,,,,,
1980,Gulf of Mexico,All,Oil Wells,,
1981,Gulf of Mexico,All,Oil Wells,,
1982,Gulf of Mexico,All,Oil Wells,,
1983,Gulf of Mexico,All,Oil Wells,,
1984,Gulf of Mexico,All,Oil Wells,,
1985,Gulf of Mexico,All,Oil Wells,,
1986,Gulf of Mexico,All,Oil Wells,,
1987,Gulf of Mexico,All,Oil Wells,,
1988,Gulf of Mexico,All,Oil Wells,,
1989,Gulf of Mexico,All,Oil Wells,,
1990,Gulf of Mexico,All,Oil Wells,,
1991,Gulf of Mexico,All,Oil Wells,,
1992,Gulf of Mexico,All,Oil Wells,,
1993,Gulf of Mexico,All,Oil Wells,,
1994,Gulf of Mexico,All,Oil Wells,,
1995,Gulf of Mexico,All,Oil Wells,,
1996,Gulf of Mexico,All,Oil Wells,,
1997,Gulf of Mexico,All,Oil Wells,660077,660.077
1998,Gulf of Mexico,All,Oil Wells,733270,733.27
1999,Gulf of Mexico,All,Oil Wells,830259,830.259
2000,Gulf of Mexico,All,Oil Wells,882336,882.336
2001,Gulf of Mexico,All,Oil Wells,922935,922.935
2002,Gulf of Mexico,All,Oil Wells,828458,828.458
2003,Gulf of Mexico,All,Oil Wells,883465,883.465
2004,Gulf of Mexico,All,Oil Wells,787047,787.047
2005,Gulf of Mexico,All,Oil Wells,677426,677.426
2006,Gulf of Mexico,All,Oil Wells,643556,643.556
2007,Gulf of Mexico,All,Oil Wells,610955,610.955
2008,Gulf of Mexico,All,Oil Wells,481665,481.665
2009,Gulf of Mexico,All,Oil Wells,566380,566.38
2010,Gulf of Mexico,All,Oil Wells,559235,559.235
2011,Gulf of Mexico,All,Oil Wells,476984,476.984
2012,Gulf of Mexico,All,Oil Wells,513961,513.961
2013,Gulf of Mexico,All,Oil Wells,509357,509.357
2014,Gulf of Mexico,All,Oil Wells,569023,569.023
2015,Gulf of Mexico,All,Oil Wells,639856,639.856
2016,Gulf of Mexico,All,Oil Wells,647628,647.628
2017,Gulf of Mexico,All,Oil Wells,623547,623.547
2018,Gulf of Mexico,All,Oil Wells,620276,620.276
2019,Gulf of Mexico,All,Oil Wells,697149,697.149
2020,Gulf of Mexico,All,Oil Wells,569134,569.134
2021,Gulf of Mexico,All,Oil Wells,,
,,,,,
,,,,,
1977,Gulf of Mexico,All,All,,
1978,Gulf of Mexico,All,All,,
1979,Gulf of Mexico,All,All,,
1980,Gulf of Mexico,All,All,,
1981,Gulf of Mexico,All,All,,
1982,Gulf of Mexico,All,All,,
1983,Gulf of Mexico,All,All,,
1984,Gulf of Mexico,All,All,,
1985,Gulf of Mexico,All,All,,
1986,Gulf of Mexico,All,All,,
1987,Gulf of Mexico,All,All,,
1988,Gulf of Mexico,All,All,,
1989,Gulf of Mexico,All,All,,
1990,Gulf of Mexico,All,All,,
1991,Gulf of Mexico,All,All,,
1992,Gulf of Mexico,All,All,,
1993,Gulf of Mexico,All,All,,
1994,Gulf of Mexico,All,All,,
1995,Gulf of Mexico,All,All,,
1996,Gulf of Mexico,All,All,,
1997,Gulf of Mexico,All,All,,
1998,Gulf of Mexico,All,All,,
1999,Gulf of Mexico,All,All,,
2000,Gulf of Mexico,All,All,,
2001,Gulf of Mexico,All,All,5066015,5066.015
2002,Gulf of Mexico,All,All,4547627,4547.627
2003,Gulf of Mexico,All,All,4447348,4447.348
2004,Gulf of Mexico,All,All,4000685,4000.685
2005,Gulf of Mexico,All,All,3150818,3150.818
2006,Gulf of Mexico,All,All,2914131,2914.131
2007,Gulf of Mexico,All,All,2813197,2813.197
2008,Gulf of Mexico,All,All,2329955,2329.955
2009,Gulf of Mexico,All,All,2444102,2444.102
2010,Gulf of Mexico,All,All,2259144,2259.144
2011,Gulf of Mexico,All,All,1830913,1830.913
2012,Gulf of Mexico,All,All,1527875,1527.875
2013,Gulf of Mexico,All,All,1326697,1326.697
2014,Gulf of Mexico,All,All,1275738,1275.738
2015,Gulf of Mexico,All,All,1307641,1307.641
2016,Gulf of Mexico,All,All,1220656,1220.656
2017,Gulf of Mexico,All,All,1078218,1078.218
2018,Gulf of Mexico,All,All,992704,992.704
2019,Gulf of Mexico,All,All,1034038,1034.038
2020,Gulf of Mexico,All,All,805010,805.01
2021,Gulf of Mexico,All,All,,
,,,,,
,,,,,
1977,Gulf of Mexico,Federal,All,,
1978,Gulf of Mexico,Federal,All,,
1979,Gulf of Mexico,Federal,All,,
1980,Gulf of Mexico,Federal,All,,
1981,Gulf of Mexico,Federal,All,,
1982,Gulf of Mexico,Federal,All,,
1983,Gulf of Mexico,Federal,All,,
1984,Gulf of Mexico,Federal,All,,
1985,Gulf of Mexico,Federal,All,,
1986,Gulf of Mexico,Federal,All,,
1987,Gulf of Mexico,Federal,All,,
1988,Gulf of Mexico,Federal,All,,
1989,Gulf of Mexico,Federal,All,,
1990,Gulf of Mexico,Federal,All,,
1991,Gulf of Mexico,Federal,All,,
1992,Gulf of Mexico,Federal,All,,
1993,Gulf of Mexico,Federal,All,,
1994,Gulf of Mexico,Federal,All,,
1995,Gulf of Mexico,Federal,All,,
1996,Gulf of Mexico,Federal,All,,
1997,Gulf of Mexico,Federal,All,5242169,5242.169
1998,Gulf of Mexico,Federal,All,5110327,5110.327
1999,Gulf of Mexico,Federal,All,5052936,5052.936
2000,Gulf of Mexico,Federal,All,4967694,4967.694
2001,Gulf of Mexico,Federal,All,5066015,5066.015
2002,Gulf of Mexico,Federal,All,4547627,4547.627
2003,Gulf of Mexico,Federal,All,4447348,4447.348
2004,Gulf of Mexico,Federal,All,4000685,4000.685
2005,Gulf of Mexico,Federal,All,3150818,3150.818
2006,Gulf of Mexico,Federal,All,2914131,2914.131
2007,Gulf of Mexico,Federal,All,2813197,2813.197
2008,Gulf of Mexico,Federal,All,2329955,2329.955
2009,Gulf of Mexico,Federal,All,2444102,2444.102
2010,Gulf of Mexico,Federal,All,2259144,2259.144
2011,Gulf of Mexico,Federal,All,1830913,1830.913
2012,Gulf of Mexico,Federal,All,1527875,1527.875
2013,Gulf of Mexico,Federal,All,1326697,1326.697
2014,Gulf of Mexico,Federal,All,1275738,1275.738
2015,Gulf of Mexico,Federal,All,1307641,1307.641
2016,Gulf of Mexico,Federal,All,1220656,1220.656
2017,Gulf of Mexico,Federal,All,1078218,1078.218
2018,Gulf of Mexico,Federal,All,992704,992.704
2019,Gulf of Mexico,Federal,All,1034038,1034.038
2020,Gulf of Mexico,Federal,All,805010,805.01
2021,Gulf of Mexico,Federal,All,785261,785.261
,,,,,
1977,Gulf of Mexico,Federal,Gas Wells,,
1978,Gulf of Mexico,Federal,Gas Wells,,
1979,Gulf of Mexico,Federal,Gas Wells,,
1980,Gulf of Mexico,Federal,Gas Wells,,
1981,Gulf of Mexico,Federal,Gas Wells,,
1982,Gulf of Mexico,Federal,Gas Wells,,
1983,Gulf of Mexico,Federal,Gas Wells,,
1984,Gulf of Mexico,Federal,Gas Wells,,
1985,Gulf of Mexico,Federal,Gas Wells,,
1986,Gulf of Mexico,Federal,Gas Wells,,
1987,Gulf of Mexico,Federal,Gas Wells,,
1988,Gulf of Mexico,Federal,Gas Wells,,
1989,Gulf of Mexico,Federal,Gas Wells,,
1990,Gulf of Mexico,Federal,Gas Wells,,
1991,Gulf of Mexico,Federal,Gas Wells,,
1992,Gulf of Mexico,Federal,Gas Wells,,
1993,Gulf of Mexico,Federal,Gas Wells,,
1994,Gulf of Mexico,Federal,Gas Wells,,
1995,Gulf of Mexico,Federal,Gas Wells,,
1996,Gulf of Mexico,Federal,Gas Wells,,
1997,Gulf of Mexico,Federal,Gas Wells,4582092,4582.092
1998,Gulf of Mexico,Federal,Gas Wells,4377057,4377.057
1999,Gulf of Mexico,Federal,Gas Wells,4222677,4222.677
2000,Gulf of Mexico,Federal,Gas Wells,4085358,4085.358
2001,Gulf of Mexico,Federal,Gas Wells,4143080,4143.08
2002,Gulf of Mexico,Federal,Gas Wells,3719169,3719.169
2003,Gulf of Mexico,Federal,Gas Wells,3563883,3563.883
2004,Gulf of Mexico,Federal,Gas Wells,3213638,3213.638
2005,Gulf of Mexico,Federal,Gas Wells,2473392,2473.392
2006,Gulf of Mexico,Federal,Gas Wells,2270575,2270.575
2007,Gulf of Mexico,Federal,Gas Wells,2202242,2202.242
2008,Gulf of Mexico,Federal,Gas Wells,1848290,1848.29
2009,Gulf of Mexico,Federal,Gas Wells,1877722,1877.722
2010,Gulf of Mexico,Federal,Gas Wells,1699908,1699.908
2011,Gulf of Mexico,Federal,Gas Wells,1353929,1353.929
2012,Gulf of Mexico,Federal,Gas Wells,1013914,1013.914
2013,Gulf of Mexico,Federal,Gas Wells,817340,817.34
2014,Gulf of Mexico,Federal,Gas Wells,706715,706.715
2015,Gulf of Mexico,Federal,Gas Wells,667785,667.785
2016,Gulf of Mexico,Federal,Gas Wells,573028,573.028
2017,Gulf of Mexico,Federal,Gas Wells,454672,454.672
2018,Gulf of Mexico,Federal,Gas Wells,372429,372.429
2019,Gulf of Mexico,Federal,Gas Wells,336890,336.89
2020,Gulf of Mexico,Federal,Gas Wells,235876,235.876
2021,Gulf of Mexico,Federal,Gas Wells,,
,,,,,
1977,Gulf of Mexico,Federal,Oil Wells,,
1978,Gulf of Mexico,Federal,Oil Wells,,
1979,Gulf of Mexico,Federal,Oil Wells,,
1980,Gulf of Mexico,Federal,Oil Wells,,
1981,Gulf of Mexico,Federal,Oil Wells,,
1982,Gulf of Mexico,Federal,Oil Wells,,
1983,Gulf of Mexico,Federal,Oil Wells,,
1984,Gulf of Mexico,Federal,Oil Wells,,
1985,Gulf of Mexico,Federal,Oil Wells,,
1986,Gulf of Mexico,Federal,Oil Wells,,
1987,Gulf of Mexico,Federal,Oil Wells,,
1988,Gulf of Mexico,Federal,Oil Wells,,
1989,Gulf of Mexico,Federal,Oil Wells,,
1990,Gulf of Mexico,Federal,Oil Wells,,
1991,Gulf of Mexico,Federal,Oil Wells,,
1992,Gulf of Mexico,Federal,Oil Wells,,
1993,Gulf of Mexico,Federal,Oil Wells,,
1994,Gulf of Mexico,Federal,Oil Wells,,
1995,Gulf of Mexico,Federal,Oil Wells,,
1996,Gulf of Mexico,Federal,Oil Wells,,
1997,Gulf of Mexico,Federal,Oil Wells,660077,660.077
1998,Gulf of Mexico,Federal,Oil Wells,733270,733.27
1999,Gulf of Mexico,Federal,Oil Wells,830259,830.259
2000,Gulf of Mexico,Federal,Oil Wells,882336,882.336
2001,Gulf of Mexico,Federal,Oil Wells,922935,922.935
2002,Gulf of Mexico,Federal,Oil Wells,828458,828.458
2003,Gulf of Mexico,Federal,Oil Wells,883465,883.465
2004,Gulf of Mexico,Federal,Oil Wells,787047,787.047
2005,Gulf of Mexico,Federal,Oil Wells,677426,677.426
2006,Gulf of Mexico,Federal,Oil Wells,643556,643.556
2007,Gulf of Mexico,Federal,Oil Wells,610955,610.955
2008,Gulf of Mexico,Federal,Oil Wells,481665,481.665
2009,Gulf of Mexico,Federal,Oil Wells,566380,566.38
2010,Gulf of Mexico,Federal,Oil Wells,559235,559.235
2011,Gulf of Mexico,Federal,Oil Wells,476984,476.984
2012,Gulf of Mexico,Federal,Oil Wells,513961,513.961
2013,Gulf of Mexico,Federal,Oil Wells,509357,509.357
2014,Gulf of Mexico,Federal,Oil Wells,569023,569.023
2015,Gulf of Mexico,Federal,Oil Wells,639856,639.856
2016,Gulf of Mexico,Federal,Oil Wells,647628,647.628
2017,Gulf of Mexico,Federal,Oil Wells,623547,623.547
2018,Gulf of Mexico,Federal,Oil Wells,620276,620.276
2019,Gulf of Mexico,Federal,Oil Wells,697149,697.149
2020,Gulf of Mexico,Federal,Oil Wells,569134,569.134
2021,Gulf of Mexico,Federal,Oil Wells,,
,,,,,
1977,Louisiana,All,All,3838521,3838.521
1978,Louisiana,All,All,4600197,4600.197
1979,Louisiana,All,All,4750119,4750.119
1980,Louisiana,All,All,4617585,4617.585
1981,Louisiana,All,All,4584491,4584.491
1982,Louisiana,All,All,4246464,4246.464
1983,Louisiana,All,All,3635942,3635.942
1984,Louisiana,All,All,4070279,4070.279
1985,Louisiana,All,All,3542827,3542.827
1986,Louisiana,All,All,3279165,3279.165
1987,Louisiana,All,All,3610041,3610.041
1988,Louisiana,All,All,3633594,3633.594
1989,Louisiana,All,All,3577685,3577.685
1990,Louisiana,All,All,3731764,3731.764
1991,Louisiana,All,All,3550230,3550.23
1992,Louisiana,All,All,3442437,3442.437
1993,Louisiana,All,All,3508112,3508.112
1994,Louisiana,All,All,3673494,3673.494
1995,Louisiana,All,All,3554147,3554.147
1996,Louisiana,All,All,3881697,3881.697
1997,Louisiana,All,All,3941802,3941.802
1998,Louisiana,All,All,3951997,3951.997
1999,Louisiana,All,All,3896569,3896.569
2000,Louisiana,All,All,3812991,3812.991
2001,Louisiana,All,All,153871,153.871
2002,Louisiana,All,All,137192,137.192
2003,Louisiana,All,All,133456,133.456
2004,Louisiana,All,All,129245,129.245
