"","geoId","state","stateId","stateAbbreviation","county","coastalCounty","shorelineCounty","sortOrder","regionType","regionName","isCounty"
"89","12077","Florida",12,"FL","Liberty",1,0,9,"S","States",1
"90","12081","Florida",12,"FL","Manatee",1,1,9,"S","States",1
"91","12085","Florida",12,"FL","Martin",1,1,9,"S","States",1
"92","12086","Florida",12,"FL","Miami-Dade",1,1,9,"S","States",1
"93","12087","Florida",12,"FL","Monroe",1,1,9,"S","States",1
"94","12089","Florida",12,"FL","Nassau",1,1,9,"S","States",1
"95","12091","Florida",12,"FL","Okaloosa",1,1,9,"S","States",1
"96","12095","Florida",12,"FL","Orange",1,0,9,"S","States",1
"97","12099","Florida",12,"FL","Palm Beach",1,1,9,"S","States",1
"98","12101","Florida",12,"FL","Pasco",1,1,9,"S","States",1
"99","12103","Florida",12,"FL","Pinellas",1,1,9,"S","States",1
"100","12105","Florida",12,"FL","Polk",1,0,9,"S","States",1
"101","12107","Florida",12,"FL","Putnam",1,0,9,"S","States",1
"102","12113","Florida",12,"FL","Santa Rosa",1,1,9,"S","States",1
"103","12115","Florida",12,"FL","Sarasota",1,1,9,"S","States",1
"104","12117","Florida",12,"FL","Seminole",1,0,9,"S","States",1
"105","12109","Florida",12,"FL","St. Johns",1,1,9,"S","States",1
"106","12111","Florida",12,"FL","St. Lucie",1,1,9,"S","States",1
"107","12123","Florida",12,"FL","Taylor",1,1,9,"S","States",1
"108","12127","Florida",12,"FL","Volusia",1,1,9,"S","States",1
"109","12129","Florida",12,"FL","Wakulla",1,1,9,"S","States",1
"110","12131","Florida",12,"FL","Walton",1,1,9,"S","States",1
"111","13000","Georgia",13,"GA","Georgia State",0,0,12,"S","States",0
"112","13025","Georgia",13,"GA","Brantley",1,0,12,"S","States",1
"113","13029","Georgia",13,"GA","Bryan",1,1,12,"S","States",1
"114","13039","Georgia",13,"GA","Camden",1,1,12,"S","States",1
"115","13049","Georgia",13,"GA","Charlton",1,0,12,"S","States",1
"116","13051","Georgia",13,"GA","Chatham",1,1,12,"S","States",1
"117","13127","Georgia",13,"GA","Glynn",1,1,12,"S","States",1
"118","13179","Georgia",13,"GA","Liberty",1,1,12,"S","States",1
"119","13191","Georgia",13,"GA","McIntosh",1,1,12,"S","States",1
"120","13305","Georgia",13,"GA","Wayne",1,0,12,"S","States",1
"121","15000","Hawai'i",15,"HI","Hawaii State",0,0,13,"S","States",0
"122","15001","Hawai'i",15,"HI","Hawaii",1,1,13,"S","States",1
"123","15003","Hawai'i",15,"HI","Honolulu",1,1,13,"S","States",1
"124","15005","Hawai'i",15,"HI","Kalawao",1,1,13,"S","States",1
"125","15007","Hawai'i",15,"HI","Kauai",1,1,13,"S","States",1
"126","15009","Hawai'i",15,"HI","Maui",1,1,13,"S","States",1
"127","17000","Illinois",17,"IL","Illinois State",0,0,14,"S","States",0
"128","17031","Illinois",17,"IL","Cook",1,1,14,"S","States",1
"129","17097","Illinois",17,"IL","Lake",1,1,14,"S","States",1
"130","18000","Indiana",18,"IN","Indiana State",0,0,15,"S","States",0
"131","18091","Indiana",18,"IN","La Porte",1,1,15,"S","States",1
"132","18089","Indiana",18,"IN","Lake",1,1,15,"S","States",1
"133","18127","Indiana",18,"IN","Porter",1,1,15,"S","States",1
"134","22000","Louisiana",22,"LA","Louisiana State",0,0,16,"S","States",0
"135","22019","Louisiana",22,"LA","Calcasieu",0,0,16,"S","States",1
"136","22023","Louisiana",22,"LA","Cameron",1,1,16,"S","States",1
"137","22045","Louisiana",22,"LA","Iberia",1,1,16,"S","States",1
"138","22051","Louisiana",22,"LA","Jefferson",1,1,16,"S","States",1
"139","22057","Louisiana",22,"LA","Lafourche",1,1,16,"S","States",1
"140","22063","Louisiana",22,"LA","Livingston",1,0,16,"S","States",1
"141","22071","Louisiana",22,"LA","Orleans",1,1,16,"S","States",1
"142","22075","Louisiana",22,"LA","Plaquemines",1,1,16,"S","States",1
"143","22087","Louisiana",22,"LA","St. Bernard",1,1,16,"S","States",1
"144","22089","Louisiana",22,"LA","St. Charles",1,0,16,"S","States",1
"145","22093","Louisiana",22,"LA","St. James",1,0,16,"S","States",1
"146","22095","Louisiana",22,"LA","St. John the Baptist",1,0,16,"S","States",1
"147","22099","Louisiana",22,"LA","St. Martin",0,0,16,"S","States",1
"148","22101","Louisiana",22,"LA","St. Mary",1,1,16,"S","States",1
"149","22103","Louisiana",22,"LA","St. Tammany",1,1,16,"S","States",1
"150","22105","Louisiana",22,"LA","Tangipahoa",1,1,16,"S","States",1
"151","22109","Louisiana",22,"LA","Terrebonne",1,1,16,"S","States",1
"152","22113","Louisiana",22,"LA","Vermilion",1,1,16,"S","States",1
"153","23000","Maine",23,"ME","Maine State",0,0,17,"S","States",0
"154","23005","Maine",23,"ME","Cumberland",1,1,17,"S","States",1
"155","23009","Maine",23,"ME","Hancock",1,1,17,"S","States",1
"156","23013","Maine",23,"ME","Knox",1,1,17,"S","States",1
"157","23015","Maine",23,"ME","Lincoln",1,1,17,"S","States",1
"158","23023","Maine",23,"ME","Sagadahoc",1,1,17,"S","States",1
"159","23027","Maine",23,"ME","Waldo",1,1,17,"S","States",1
"160","23029","Maine",23,"ME","Washington",1,1,17,"S","States",1
"161","23031","Maine",23,"ME","York",1,1,17,"S","States",1
"162","24000","Maryland",24,"MD","Maryland State",0,0,18,"S","States",0
"163","24003","Maryland",24,"MD","Anne Arundel",1,1,18,"S","States",1
"164","24005","Maryland",24,"MD","Baltimore",1,1,18,"S","States",1
"165","24510","Maryland",24,"MD","Baltimore City",1,1,18,"S","States",1
"166","24009","Maryland",24,"MD","Calvert",1,1,18,"S","States",1
"167","24011","Maryland",24,"MD","Caroline",1,0,18,"S","States",1
"168","24015","Maryland",24,"MD","Cecil",1,1,18,"S","States",1
"169","24017","Maryland",24,"MD","Charles",1,1,18,"S","States",1
"170","24019","Maryland",24,"MD","Dorchester",1,1,18,"S","States",1
