"state","GEOID","county_name","nTracts","nZip","ovarea3","ovpct3","arearank3","RpctTfld","Rscen3","ovarea6","ovpct6","arearank6","RtrFld6","Rscen6","ctyEmp","empz","empzw3","Remp3","empzw6","Remp6","RsmEmp3","RsmEmp6","commEng","commRel","recEng","recRel","mnFshScr","Rfish","fshRnk","pop15","ppct3","popw3","rankp3","ppct6","popw6","rankp6","houseu","hpct3","housew3","rankh3","hpct6","housew6","rankh6","smHse","seashw3","smHse3","seashw6","smHse6","sovich3","sovi3","sovich6","sovi6","OempTot","OceanPct","OceanRnk","totRd3","fldRoad3","pctRd3","rd3kmRnk","rd3PcRnk","rdRnkMn3","totRd6","fldRd6","pctRd6","rd6KmRnk","rd6PctRnk","rdRnkMn6","totRl3","fldRl3","pctRl3","rl3kmRnk","rl3PctRnk","rlRnkKmMn3","totRl6","fldRl6","pctRl6","rl6kmRnk","rl6PctRnk","rlRnkKmMn6","rr3Rank","rrRnk3Mean","rr6Rnk","rrRnk6Mn","totInfra","rnkScr3","rnkInfFld3","rnkScr6","rnkInfFld6"
"Maryland","24019","Dorchester",13,10,"2388821303.50","76.30",10,1,18,"2625201871.50","83.90",1,2,49,"11202","6914.80","3668.10",36,57,"4737.40",36,57,0.57,0.57,1.14,1.64,0.982,53,15,"46329","33.80","15681.70",12,"38.80","17998.80",14,"23992","37.80","9058.90",12,"43.10","10344.50",16,"2072","1900.70",63,"1911",58,283,20,340.33,49,"1596","14.20",8,,,,50,50,50,,,,50,50,50,12.5,0.01,"0.10",46,47,46.5,12.51,0.02,"0.10",49,49,49,50,48.3,50,50,5,29.4,21,34.6,23
"Maryland","24025","Harford",58,9,"409498436.10","40.40",11,23,29,"414795460.00","41.00",12,34,46,"91428","46073.40","2727.70",41,27,"3264.10",44,25,0.8,0.8,1.33,1.27,1.05,31,9,"257975","9.90","25598.40",48,"10.90","28102.70",51,"104468","10.40","10897.20",48,"11.40","11926.50",51,308,76.1,20,81,18,-166.77,45,-194.08,58,"7748","8.50",26,5.01,1.97,"39.30",21,2,11.5,5.01,1.97,"39.30",26,1,13.5,30,1.44,"4.80",24,31,27.5,36.54,1.96,"5.40",34,38,36,19,19.5,12,13.5,47,30.5,22,34.3,24
"Maryland","24029","Kent",6,6,"284723736.70","22.10",12,50,36,"321981971.80","25.00",19,53,58,"7901","1239.20",164.2,60,47,195,60,46,0.82,0.82,1.09,1.55,1.068,28,27,"20526","23.80","4888.40",23,"27.00","5543.70",23,"12634","25.80","3257.30",23,"29.30","3704.90",24,"3160","1290.50",36,"1470",34,"1334.67",5,"1333.00",45,867,"11.00",17,,,,47,47,47,,,,47,47,47,2.8,0.07,"2.40",43,40,41.5,2.76,0.08,"2.80",47,46,46.5,46,44.3,47,47,37,31.3,29,36.6,33
"Maryland","24033","Prince Georges",58,4,"71669325.10","17.10",13,57,59,"77712895.60","18.50",43,60,62,"312033","20298.20",504.3,54,20,736.4,53,16,0.97,0.97,1,1,0.987,52,25,"234384","7.20","16885.50",54,"7.60","17751.80",55,"91860","7.60","6940.30",53,"7.90","7274.80",55,828,314.1,30,323,26,-182.56,47,-189,59,,,61,116.6,17.31,"14.80",3,5,4,128.25,17.52,"13.70",7,10,8.5,4.2,0.15,"3.60",39,34,36.5,10.69,0.49,"4.50",39,41,40,20,20.3,8,8.5,7,38.2,18,39.4,22
"Maryland","24035","Queen Annes",18,5,"335864511.10","24.20",14,47,33,"378484821.40","27.20",15,48,59,"14748","13263.90","2995.10",39,55,"4061.60",41,54,0.62,0.62,1.08,1.08,0.846,56,2,"75402","33.20","25024.50",13,"38.70","29180.30",15,"32526","33.90","11031.10",18,"39.50","12863.40",18,"3310","2044.10",44,"2382",45,-104.38,38,-89.13,55,"2450","16.60",6,,,,51,51,51,,,,51,51,51,,,,49,50,49.5,13.68,0.01,"0.10",50,50,50,51,50.3,51,51,49,30.6,40,36.7,45
"Maryland","24037","St. Marys",34,26,"507049492.30","24.10",16,48,5,"563874648.80","26.70",8,49,40,"43340","43051.40","4123.40",34,44,"4712.70",37,42,0.5,0.5,1,1,0.75,58,1,"219228","15.40","33725.80",34,"17.00","37333.60",40,"85524","15.70","13427.40",34,"17.30","14829.30",39,"2892","1172.80",35,"1302",33,-156.07,44,-156.64,57,"3269","48.90",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,25.8,5,32.4,10
"Maryland","24039","Somerset",12,8,"1406216720.60","64.30",15,6,11,"1626911743.80","74.40",2,5,48,"6683",120.5,68.8,62,36,83.4,62,38,0.09,0.09,1.09,1.45,0.682,59,5,"38612","48.50","18741.80",4,"56.50","21815.50",6,"16858","64.50","10878.40",1,"74.20","12513.90",2,"2680","2207.20",57,"2346",54,814.5,11,808.83,46,,,59,,,,38,38,38,,,,38,38,38,0.6,0.04,"7.10",45,24,34.5,3.32,0.53,"15.90",38,24,31,40,36.3,38,38,31,27.9,4,34.6,6
"Maryland","24041","Talbot",18,12,"490714217.20","35.60",17,32,13,"606675228.20","44.00",7,29,51,"19353","18102.30","3185.70",38,54,"4222.50",40,55,0.33,0.33,1.5,1.83,1,39,22,"66604","21.70","14457.40",26,"27.00","17952.80",24,"36430","25.10","9154.30",24,"31.40","11453.10",23,"4084","2778.40",48,"3379",51,718.25,12,712.88,47,"2443","12.60",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,28.3,20,34.8,27
"Maryland","24045","Wicomico",2,5,"229898497.40","36.60",18,31,45,"294480801.00","46.90",22,26,56,"45006",664.6,78.2,61,22,114.9,61,20,0.89,0.89,1.11,1.33,1.056,29,20,"14014","36.60","5128.60",9,"46.90","6569.30",10,"5644","36.60","2065.50",14,"46.90","2645.70",13,132,72.5,42,93,43,-9,30,-10,53,,,62,,,,44,44,44,,,,44,44,44,3,0.01,"0.30",47,44,45.5,3.63,0.22,"6.10",43,36,39.5,47,44.8,44,44,6,33.1,24,36.1,19
"Maryland","24047","Worcester",32,10,"893544550.60","29.40",19,40,19,"1050057240.60","34.60",5,41,28,"24308","23356.60","7994.90",23,58,"11718.10",22,58,1.25,1.08,1.5,1.58,1.354,12,36,"103038","31.50","32417.70",16,"42.80","44128.30",13,"111498","50.50","56334.10",6,"66.50","74166.20",4,"53288","43531.80",56,"49345",59,486,16,502.88,48,"7258","29.90",3,,,,48,48,48,,,,48,48,48,30.8,0.07,"0.20",42,46,44,30.94,0.19,"0.60",44,47,45.5,48,46,48,48,171,29.4,32,31.2,26
"Maryland","24510","Baltimore (city)",400,19,"57334218.10","38.10",6,28,40,"62031264.30","41.20",46,33,27,"337194","316944.90","18752.10",11,9,"22826.80",14,8,,,,,,,63,"1244908","2.60","32041.40",60,"2.90","36313.00",62,"593454","2.90","16952.90",60,"3.30","19350.30",61,"2818",346.6,9,379,9,-102.57,37,-150.24,54,"19213","5.70",39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,32.3,3,31.1,2
"New Jersey","34000","State Summary",715,173,"2005039203.00","42.00",27,34.4,30.7,"2354888078.00","49.30",40.3,32,33.5,"3080218","1014346.50","192098.90",22.2,35.8,"301354.70",22.8,36.2,1.07,1.03,1.24,1.21,1.137,,31.2,"2780718","15.80","438870.60",33.2,"20.80","579052.40",31.7,"1253729","21.30","267621.40",32,"28.10","352497.10",30.7,"116093","92415.70",33.3,"102749",519,,30.8,,37,"121360","12.00",39.5,"1151.20",52.1,"4.50",24.3,25.9,25.1,"3033.00",146.9,"4.80",333,25,23.6,770,160.7,"20.90",13.9,14.9,14.43,"1184.30",502,"42.40",14,12.1,13,18.6,19.8,23.7,23.6,252,459.8,29.9,31.6,28.2
"New Jersey","34001","Atlantic",56,17,"354570359.90","47.40",20,16,2,"402214693.90","53.70",13,21,10,"124840","98775.20","53706.50",1,50,"65954.30",2,50,1.18,1,1.64,1.55,1.341,14,29,"209363","32.00","66957.80",15,"45.40","95149.60",12,"100629","39.30","39584.20",11,"55.90","56260.70",8,"14936","12686.10",61,"14472",62,472.48,17,507.37,33,"11524","9.20",24,,,,35,35,35,,,,35,35,35,22.3,3.92,"17.60",11,11,11,22.36,10.64,"47.60",18,7,12.5,24,23,35,35,27,24,8,25.7,5
