,structCompId,complexId.x,abandonFlag,allocMtrFlag,attended8Hr,condenProdFlag,distToShore,drillingFlag,firedVesselFl,gasProdFlag,gasFlaringFlag,mmsCompanyNum,manned24Hr,majCmplxFlag,leaseNum,lastRevDate.x,lactMtrFlag,injectionCode,heliportFlag,workoverFlag,waterProdFlag,waterDepth,tankGaugeFlag,sulfurProdFlag,subdistrictCode,storeTankFlag,rigCount,qtrType,prodEqpmtFlag,productionFlag,powerSourceType,powerGenFlag,oilProdFlag,gasSaleMtrFlag,fldNameCode,districtCode.x,craneCounty,compressorFlag,comglProdFlag,bedCount,areaCode.x,blockNumber.x,meterProverFl,districtCode.y,structNum,areaCode.y,blockNumber.y,structName,srfNrthSthDist,nrthSthDepCode.x,srfEstWstDist.x,estWstDepCode.x,xLoc,yLoc,longitude,latitude,areaCode,blockNumber,complexId.y,deckCount,estWstDepCode.y,installDate,lastRevDate.y,majStructFlg,nrthSthDepCode.y,removalDate,slantSlotCount,slotCount,slotDrillCount,satelliteCompletionCount,structureName,structureNumber,structureTypeCode,srfEstWstDist.y,srfNrtSthDist,underwaterCompCount,authorityType,authorityNumber,authorityStatus,removalYr,installYr
6183,2606_1,2606,N,Y,Y,N,NA,Y,Y,Y,N,730,Y,Y,G27982,6-Jan-16,Y,N,Y,Y,N,1186,Y,N,NA,Y,1,P,Y,Y,B,Y,Y,Y,EW878,1,2,Y,Y,104,EW,834,Y,1,1,EW,834,A,1163,N,5803,E,2623637,10231477,-89.94834,28.16034,EW,834,2606,3,E,25-Nov-15,28-Mar-19,N,N,NA,NA,17,NA,NA,A,1,FIXED,5803,1163,NA,OCS LEASE,G27982,UNIT,NA,2015
6184,26060_1,26060,N,N,N,N,11,N,N,N,N,3026,N,N,G03171,5-Feb-13,N,N,Y,N,N,35,N,N,NA,N,0,N,Y,N,NA,N,N,N,PL013,2,1,N,N,NA,PL,13,N,2,1,PL,13,7,4153,N,597,W,2218243,95515.91,-90.6512,28.92753,PL,13,26060,1,W,5-Dec-93,28-Jul-94,N,N,21-Nov-18,NA,1,1,NA,7,1,CAIS,597,4153,NA,OCS LEASE,G03171,TERMIN,2018,1993
6185,26061_1,26061,Y,N,N,N,10,N,N,N,N,1834,N,N,63,25-Jul-18,N,N,N,N,N,28,N,N,NA,N,0,N,N,N,NA,N,N,N,SS0093,2,0,N,N,NA,SS,93,N,2,1,SS,93,63,6363,N,6790,E,2164810,79344.38,-90.81843,28.88383,SS,93,26061,1,E,1-Jan-93,28-Jul-94,N,N,15-May-18,NA,1,1,NA,63,1,CAIS,6790,6363,NA,OCS LEASE,63,UNIT,2018,1993
6186,26062_1,26062,N,N,N,N,10,N,N,Y,N,1834,N,N,63,13-Jun-14,N,N,N,N,Y,24,N,N,NA,N,0,N,Y,Y,NA,N,Y,N,SS113,2,0,N,N,NA,SS,93,N,2,1,SS,93,61,3289,N,4037,W,2160037,82418.38,-90.8333,28.89234,SS,93,26062,1,W,9-Mar-94,18-Dec-07,N,N,NA,NA,1,1,0,61,1,CAIS,4037,3289,0,OCS LEASE,63,UNIT,NA,1994
6187,26063_1,26063,N,N,N,N,25,N,N,Y,N,3247,N,N,G01238,14-Feb-14,N,N,N,N,Y,60,N,N,NA,N,0,N,Y,Y,NA,N,Y,N,PL023,2,0,N,N,NA,PL,23,N,2,1,PL,23,19,711,S,5033,E,2228213,58495.3,-90.62075,28.82556,PL,23,26063,1,E,1-Jan-62,6-Nov-96,N,S,12-Oct-22,NA,1,1,1,19,1,CAIS,5033,711,NA,OCS LEASE,G01238,PROD,2022,1962
6188,26064_1,26064,Y,N,N,N,33,N,N,N,N,105,N,N,G11952,10-Jul-13,N,N,N,N,N,47,N,N,NA,N,0,N,N,N,NA,N,N,N,EI162,3,1,N,N,NA,EI,162,N,3,1,EI,162,3,2013,S,4310,E,1935601,54426.88,-91.53439,28.81617,EI,162,26064,1,E,17-Feb-94,10-Jul-13,N,S,2-Jul-13,NA,1,1,NA,3,1,CAIS,4310,2013,NA,OCS LEASE,G11952,TERMIN,2013,1994
6189,26066_1,26066,Y,N,N,N,17,N,N,N,N,1046,N,N,G07727,27-Aug-15,N,NA,N,N,N,23,N,N,NA,N,0,N,N,N,NA,N,N,N,EI048,3,0,N,NA,NA,EI,48,N,3,1,EI,48,6,2782,N,5692,E,1844086,210265.1,-91.82219,29.24396,EI,48,26066,1,E,24-Jan-94,11-May-95,N,N,13-Sep-99,NA,1,1,0,6,1,CAIS,5692,2782,0,OCS LEASE,G07727,TERMIN,1999,1994
6190,26067_1,26067,N,N,N,Y,59,N,N,Y,N,1284,N,N,G09631,3-Jan-14,N,N,Y,N,Y,285,N,N,NA,N,0,N,Y,Y,NA,N,Y,N,SS299,2,1,N,Y,NA,SS,315,N,2,1,SS,315,A,7119,S,3643,E,2074357,-172442.9,-91.10261,28.19232,SS,315,26067,2,E,1-Jan-94,28-Mar-12,N,S,NA,NA,4,4,0,A,1,FIXED,3643,7119,0,OCS LEASE,G09631,TERMIN,NA,1994
6191,26068_1,26068,Y,N,N,N,33,N,N,N,N,1819,N,N,G09614,23-Jul-15,N,N,Y,N,N,37,N,N,NA,N,0,N,N,N,NA,N,N,N,SS105,2,0,N,N,NA,SS,105,N,2,1,SS,105,2,5713,N,988,W,2016588,66032.84,-91.28153,28.84823,SS,105,26068,1,W,1-Jan-93,28-Jul-94,N,N,7-Jun-11,NA,1,1,0,2,1,CAIS,988,5713,0,OCS LEASE,G09614,TERMIN,2011,1993
6192,26069_1,26069,Y,Y,N,N,76,N,N,Y,N,1364,N,Y,G04877,22-Feb-01,N,NA,Y,N,Y,332,N,N,NA,N,NA,P,Y,Y,NA,N,N,N,SS323,2,1,N,NA,NA,SS,322,N,2,1,SS,322,B,900,S,5451,W,2036651,-192623.4,-91.21967,28.137,SS,322,26069,4,W,29-May-94,22-Feb-01,Y,S,19-Sep-00,NA,3,2,NA,B,1,FIXED,5451,900,NA,OCS LEASE,G04877,TERMIN,2000,1994
