"Year ","Port ","State","millionPounds"," millionDollars "
2013,"Seattle, WA","WA",12.4,29
2013,"Anchorage, AK","AK",11.8,12.1
2013,"Yukon Delta (Other), AK","AK",11.7,15.1
2013,"San Francisco Area, CA","CA",11.4,18
2013,"Palacios, TX","TX",10.9,34.4
2013,"Lafitte-Barataria, LA","LA",10.8,16.7
2013,"Homer, AK","AK",10.3,25.6
2013,"Gulfport-Biloxi, MS","MS",9.4,23.4
2013,"Delacroix-Yscloskey, LA","LA",8.7,16.4
2013,"Accomac, VA","VA",8.7,13.9
2013,"Long Beach-Barnegat, NJ","NJ",8.6,25.3
2013,"Fort Bragg, CA","CA",8.6,15.1
2013,"Newport, RI","RI",8.1,14.3
2013,"Grand Isle, LA","LA",7.7,13.2
2013,"Key West, FL","FL",7.5,39.8
2013,"Fairhaven, MA","MA",7.2,22.2
2013,"Tampa Bay-St. Petersburg, FL","FL",7.1,19.5
2013,"Anacortes-La Conner, WA","WA",7,8.5
2013,"Morro Bay, CA","CA",6.7,7
2013,"Santa Barbara, CA","CA",6.4,10.4
2013,"Beaufort-Morehead City, NC","NC",6.4,11.7
2013,"Yakutat, AK","AK",6.2,14
2013,"Darien-Bellville, GA","GA",6.2,5.4
2013,"Beals Island, ME","ME",6.2,15.1
2013,"Hampton Bay-Shinnicock, NY","NY",6.1,6.9
2013,"Wrangell, AK","AK",5.8,10.7
2013,"Neah Bay, WA","WA",5,7.7
2013,"New London, CT","CT",4.9,6.1
2013,"Craig, AK","AK",4.9,5.9
2013,"Friendship, ME","ME",4.8,14.9
2013,"Chincoteague, VA","VA",4.8,5.6
2013,"Ocean City, MD","MD",4.6,4
2013,"Egegik, AK","AK",4.3,6.3
2013,"Spruce Head, ME","ME",4.2,11.4
2013,"Newington, NH","NH",4.1,11.6
2013,"Engelhard-Swanquarter, NC","NC",4.1,7.4
2013,"Port Clyde, ME","ME",3.9,9.2
2013,"Bodega Bay, CA","CA",3.7,12.3
2013,"Cortez, FL","FL",3.6,3.6
2013,"Olympia, WA","WA",3.4,20.8
2013,"Norton/Kotzebue Sound, AK","AK",2.9,3.8
2013,"Fort Myers, FL","FL",2.8,8.2
2013,"Everett, WA","WA",2.8,2.2
2013,"Bon Secour-Gulf Shores, AL","AL",2.8,5
2013,"Stonington, CT","CT",2.7,7.8
2013,"Freeport, TX","TX",2.7,7.5
2013,"Mayport, FL","FL",2.6,6.9
2013,"Aransas Pass-Rockport, TX","TX",2.5,8.9
2013,"Blaine, WA","WA",2.4,7.7
2013,"Tacoma, WA","WA",2.3,3.9
2013,"Port Orford, OR","OR",2.3,5.2
2013,"Belhaven-Washington, NC","NC",2.2,3.2
2013,"Apalachicola, FL","FL",2.2,6.5
2013,"Belford, NJ","NJ",2.1,1.8
2013,"Oriental-Vandemere, NC","NC",1.9,4.5
2013,"Tillamook, OR","OR",1.8,4.3
2013,"Sneads Ferry-Swansboro, NC","NC",1.8,4.6
2013,"Elizabeth City, NC","NC",1.7,2.6
2013,"Savannah, GA","GA",1.6,2.7
2013,"Port Townsend, WA","WA",1.4,3.8
2013,"Naples, FL","FL",1.2,6
2013,"La Push, WA","WA",1.2,4.3
2013,"Brunswick, GA","GA",1,2.3
2013,"Panama City, FL","FL",0.9,2.7
2013,"Port Angeles, WA","WA",0.7,4.6
2013,"Houston, TX","TX",0.3,0.8
2013,"Haines, AK","AK",0.3,0.4
2013,"Greenport, NY","NY",0.2,0.2
2013,"Cape Charles-Oyster, VA","VA",0.2,0.7
2012,"Dutch Harbor, AK","AK",751.5,214.2
2012,"Empire-Venice, LA","LA",500.4,79.7
2012,"Aleutian Islands (Other), AK","AK",455.6,118.9
2012,"Kodiak, AK","AK",393,170.3
2012,"Reedville, VA","VA",389,34.5
2012,"Intracoastal City, LA","LA",344.7,43.9
2012,"Pascagoula-Moss Point, MS","MS",249.9,24.1
2012,"Cameron, LA","LA",228.2,20.6
2012,"Alaska Penninsula (Other), AK","AK",191,98.8
2012,"Astoria, OR","OR",169.5,38.9
2012,"Los Angeles, CA","CA",161.9,43.6
2012,"New Bedford, MA","MA",143,411.1
2012,"Westport, WA","WA",133.4,58.9
2012,"Naknek, AK","AK",86.5,77.8
2012,"Cordova, AK","AK",83.8,40
2012,"Gloucester, MA","MA",82.6,57.4
2012,"Newport, OR","OR",80.2,37.2
2012,"Ketchikan, AK","AK",74.1,54.4
2012,"Port Hueneme-Oxnard-Ventura, CA","CA",69.3,26.4
2012,"Sitka, AK","AK",67.1,66.2
2012,"Portland, ME","ME",59,32.8
2012,"Bristol Bay (Other), AK","AK",55.3,78.9
2012,"Seward, AK","AK",54,62.1
2012,"Petersburg, AK","AK",52,50
2012,"Point Judith, RI","RI",46.4,42.6
2012,"Dulac-Chauvin, LA","LA",42.6,64
2012,"Rockland, ME","ME",35.2,14.8
2012,"Coos Bay-Charleston, OR","OR",32.4,26.9
2012,"Moss Landing, CA","CA",29.4,9.3
2012,"Ilwaco-Chinook, WA","WA",29.4,22.4
2012,"Kenai, AK","AK",28.4,29.9
2012,"Cape May-Wildwood, NJ","NJ",27.8,71.7
2012,"Atlantic City, NJ","NJ",27.5,21.7
2012,"Honolulu, HI","HI",27.1,100.1
2012,"Galveston, TX","TX",26.6,74.3
2012,"North Kingstown, RI","RI",23,12.7
2012,"Brownsville-Port Isabel, TX","TX",23,53.6
2012,"Stonington, ME","ME",21.8,46.1
2012,"Bayou La Batre, AL","AL",20.8,37.5
2012,"Port Arthur, TX","TX",20.4,47.4
2012,"Princeton-Half Moon Bay, CA","CA",20,15.4
2012,"Lafitte-Barataria, LA","LA",19.7,26.6
2012,"Point Pleasant, NJ","NJ",19.1,28.2
2012,"Jonesport, ME","ME",18.4,12.8
2012,"Juneau, AK","AK",18.2,26.1
2012,"Golden Meadow-Leeville, LA","LA",17.1,25.9
2012,"Provincetown-Chatham, MA","MA",16.8,27.6
2012,"Wanchese-Stumpy Point, NC","NC",16.7,21
2012,"Montauk, NY","NY",14.8,21.2
2012,"Boston, MA","MA",13.9,18.7
2012,"Gulfport-Biloxi, MS","MS",13.8,25.2
2012,"Hampton Roads Area, VA","VA",13.5,64.1
2012,"Vinalhaven, ME","ME",13.4,28.3
2012,"Eureka, CA","CA",13,24.7
2012,"Delacroix-Yscloskey, LA","LA",12.8,17.4
2012,"Crescent City, CA","CA",12.8,28.3
2012,"Homer, AK","AK",12.3,30.1
2012,"Key West, FL","FL",11.8,43
2012,"Bellingham, WA","WA",10.8,20
2012,"Shelton, WA","WA",10.4,29.8
2012,"Yukon Delta (Other), AK","AK",9.7,14.2
2012,"Accomac, VA","VA",9.7,12.2
2012,"Anchorage, AK","AK",9.3,10.2
2012,"Tampa Bay-St. Petersburg, FL","FL",9.1,21.6
2012,"Palacios, TX","TX",8.9,21.2
2012,"Upper Southeast (Other), AK","AK",8.7,11.1
2012,"Brookings, OR","OR",8.7,11.8
2012,"San Francisco Area, CA","CA",8.1,14.7
2012,"Fort Bragg, CA","CA",8.1,14.5
2012,"Hampton Bay-Shinnicock, NY","NY",7.9,7.7
2012,"Long Beach-Barnegat, NJ","NJ",7.7,30
2012,"Fairhaven, MA","MA",7.5,25.2
2012,"Slidell-Covington, LA","LA",7.4,8.3
2012,"Newport, RI","RI",7.3,10.2
2012,"Mayport, FL","FL",7.2,15.4
2012,"Monterey, CA","CA",6.9,3.1
2012,"Engelhard-Swanquarter, NC","NC",6.9,8
2012,"Morgan City-Berwick, LA","LA",6.8,6
2012,"Santa Barbara, CA","CA",6.7,10.4
2012,"Fort Myers, FL","FL",6.5,12.3
2012,"Beaufort-Morehead City, NC","NC",6.5,11.5
2012,"Port Clyde, ME","ME",6.2,9.6
2012,"Ocean City, MD","MD",6,5.8
2012,"Friendship, ME","ME",5.8,14.2
2012,"Neah Bay, WA","WA",5.6,9
2012,"Seattle, WA","WA",5.3,19
2012,"Morro Bay, CA","CA",5.2,6.2
2012,"Yakutat, AK","AK",5,14.6
2012,"New London, CT","CT",5,9.5
2012,"Beals Island, ME","ME",5,11.5
2012,"Apalachicola, FL","FL",5,11.2
2012,"Port St. Joe, FL","FL",4.8,2.7
2012,"Darien-Bellville, GA","GA",4.8,6.8
2012,"Chincoteague, VA","VA",4.8,9.1
2012,"Newington, NH","NH",4.7,11.9
2012,"Cape Canaveral, FL","FL",4.3,7.7
2012,"Spruce Head, ME","ME",4,9.6
2012,"Bon Secour-Gulf Shores, AL","AL",3.9,5.5
2012,"Panama City, FL","FL",3.8,10.1
2012,"Craig, AK","AK",3.6,6.1
2012,"Bodega Bay, CA","CA",3.6,11.8
2012,"Belhaven-Washington, NC","NC",3.3,3.1
2012,"Interior (Other), AK","AK",0.6,0.2
2012,"Haines, AK","AK",0.4,0.4
2011,"Dutch Harbor, AK","AK",705.7,246.8
2011,"Empire-Venice, LA","LA",531.5,99.2
2011,"Aleutian Islands (Other), AK","AK",431.3,128.9
2011,"Reedville, VA","VA",413.9,36.2
2011,"Kodiak, AK","AK",371.7,182.2
2011,"Intracoastal City, LA","LA",327,33.6
2011,"Pascagoula-Moss Point, MS","MS",266.7,9.9
2011,"Cameron, LA","LA",226.7,14.4
2011,"Alaska Penninsula (Other), AK","AK",211.3,138
2011,"Los Angeles, CA","CA",157.2,36.8
2011,"Astoria, OR","OR",143.8,44.4
2011,"Port Hueneme-Oxnard-Ventura, CA","CA",127.9,38.7
2011,"New Bedford, MA","MA",116.7,368.8
2011,"Westport, WA","WA",116.3,61
2011,"Sitka, AK","AK",113.2,86.5
2011,"Petersburg, AK","AK",101.1,68.8
2011,"Ketchikan, AK","AK",100,66.2
2011,"Naknek, AK","AK",99.2,99.9
2011,"Newport, OR","OR",79,43.8
2011,"Gloucester, MA","MA",77,60.7
2011,"Cordova, AK","AK",67.5,68.3
2011,"Portland, ME","ME",61.1,28.3
2011,"Seward, AK","AK",50,76.7
2011,"Bristol Bay (Other), AK","AK",49.4,85.9
2011,"Dulac-Chauvin, LA","LA",43.3,62.5
2011,"Point Judith, RI","RI",40.8,40.3
2011,"Cape May-Wildwood, NJ","NJ",39.5,102.7
2011,"Coos Bay-Charleston, OR","OR",38.6,35.7
2011,"Rockland, ME","ME",38.2,23.5
2011,"Jonesport, ME","ME",35.7,24.6
2011,"Moss Landing, CA","CA",33.6,7.5
2011,"Kenai, AK","AK",31.2,40.7
2011,"Monterey, CA","CA",25,6.4
2011,"Brownsville-Port Isabel, TX","TX",24.8,58.2
2011,"Wanchese-Stumpy Point, NC","NC",24.6,21.9
2011,"Honolulu, HI","HI",22.8,83
2011,"Atlantic City, NJ","NJ",22.7,17.3
2011,"Bayou La Batre, AL","AL",21.6,43.1
2011,"Lafitte-Barataria, LA","LA",21.5,27.7
2011,"Port Arthur, TX","TX",21.3,57.1
2011,"North Kingstown, RI","RI",21,13.1
2011,"Ilwaco-Chinook, WA","WA",20.6,24.3
2011,"Stonington, ME","ME",19.4,47.8
2011,"Bellingham, WA","WA",18.9,28.4
2011,"Galveston, TX","TX",18.7,46.9
2011,"Hampton Roads Area, VA","VA",18.3,88.3
2011,"Juneau, AK","AK",18,28.2
2011,"Provincetown-Chatham, MA","MA",17.9,26.8
2011,"Golden Meadow-Leeville, LA","LA",17.2,23.8
2011,"Point Pleasant, NJ","NJ",15.3,26.8
2011,"Palacios, TX","TX",14.9,35.8
2011,"Homer, AK","AK",13.9,41.7
2011,"Key West, FL","FL",13.7,56.3
2011,"Boston, MA","MA",13.3,17.4
2011,"Montauk, NY","NY",13,18.8
2011,"San Francisco Area, CA","CA",12.4,21.5
2011,"Gulfport-Biloxi, MS","MS",10.7,19.9
2011,"Accomac, VA","VA",9.9,10.3
2011,"Eureka, CA","CA",9.5,8.9
2011,"Anchorage, AK","AK",9.2,12.2
2011,"Ocean City, MD","MD",9,6
2011,"Engelhard-Swanquarter, NC","NC",9,9.7
2011,"Delacroix-Yscloskey, LA","LA",9,12.7
2011,"Long Beach-Barnegat, NJ","NJ",8.9,33.8
2011,"Upper Southeast (Other), AK","AK",8.6,11.6
2011,"Fort Myers, FL","FL",8.2,14.1
2011,"Tampa Bay-St. Petersburg, FL","FL",8.1,17.4
2011,"Vinalhaven, ME","ME",8,17
2011,"Seattle, WA","WA",8,24.2
2011,"Mayport, FL","FL",7.9,16.1
2011,"Apalachicola, FL","FL",7.8,11.7
2011,"Yukon Delta (Other), AK","AK",7.6,10.3
2011,"Crescent City, CA","CA",7.5,8.5
2011,"Port St. Joe, FL","FL",7.3,3.3
2011,"Fort Bragg, CA","CA",7.3,11.3
2011,"Darien-Bellville, GA","GA",7.2,6.4
2011,"Slidell-Covington, LA","LA",7.1,7.1
2011,"Anacortes-La Conner, WA","WA",7,15
2011,"Shelton, WA","WA",6.8,25.1
2011,"Morgan City-Berwick, LA","LA",6.6,5.9
2011,"Charleston-Mt. Pleasant, SC","SC",6.5,14.5
2011,"Santa Barbara, CA","CA",6.3,9.9
2011,"Hampton Bay-Shinnicock, NY","NY",6.3,7.4
2011,"Yakutat, AK","AK",6.1,17.7
2011,"Bodega Bay, CA","CA",5.8,14.3
2011,"Newport, RI","RI",5.6,7.5
2011,"Brookings, OR","OR",5.5,5.6
2011,"Neah Bay, WA","WA",5.1,8.9
2011,"Belhaven-Washington, NC","NC",5,4.9
2011,"Bay Center-South Bend, WA","WA",4.9,12.8
2011,"Wrangell, AK","AK",4.7,8.4
2011,"Cape Canaveral, FL","FL",4.6,8.3
2011,"Bon Secour-Gulf Shores, AL","AL",4.5,7.7
2011,"Craig, AK","AK",4.3,8.1
2011,"Spruce Head, ME","ME",4,11
2011,"Aransas Pass-Rockport, TX","TX",3.8,8.7
2011,"Panama City, FL","FL",3.7,9.5
2011,"Blaine, WA","WA",3.6,7.7
2011,"Oriental-Vandemere, NC","NC",3.5,6.2
2011,"Ft. Pierce-St.Lucie, FL","FL",3.4,6.6
2011,"Chincoteague, VA","VA",3.4,4
2011,"Beaufort, SC","SC",3.4,6.1
2011,"Stonington, CT","CT",3.1,8.8
2011,"New London, CT","CT",2.9,9
2011,"Georgetown, SC","SC",2.7,5.2
2011,"Port Orford, OR","OR",2.4,6.3
2011,"Port Townsend, WA","WA",2.2,4.8
2011,"Naples, FL","FL",2,6.5
2011,"Tacoma, WA","WA",1.8,5.9
2011,"Olympia, WA","WA",1.8,9
2011,"La Push, WA","WA",1.4,3.9
2011,"Tillamook, OR","OR",1.3,3
2011,"Haines, AK","AK",0.9,0.8
2010,"Dutch Harbor, AK","AK",515.2,163.1
2010,"Reedville, VA","VA",426.1,34.2
2010,"Empire-Venice, LA","LA",353.5,59.4
2010,"Intracoastal City, LA","LA",334.6,31.4
2010,"Kodiak, AK","AK",325.3,128.1
2010,"Akutan, AK","AK",302.3,84.1
2010,"Cameron, LA","LA",204.7,11.5
2010,"Los Angeles, CA","CA",186.8,37.8
2010,"Cordova, AK","AK",147.7,84.3
2010,"New Bedford, MA","MA",133.4,306
2010,"Port Hueneme-Oxnard-Ventura, CA","CA",131.4,37.4
2010,"Naknek, AK","AK",124.1,100.9
2010,"Pascagoula-Moss Point, MS","MS",105.2,8.9
2010,"Astoria, OR","OR",100.9,30.5
2010,"Westport, WA","WA",100.8,38.5
2010,"Gloucester, MA","MA",88.8,56.6
2010,"Ketchikan, AK","AK",75.7,41.3
2010,"Seward, AK","AK",75.4,69.2
2010,"Sitka, AK","AK",74.6,62.2
2010,"Newport, OR","OR",57,30.6
2010,"Petersburg, AK","AK",49.9,36.3
2010,"Cape May-Wildwood, NJ","NJ",43.1,81
2010,"Moss Landing, CA","CA",38.4,9.4
2010,"Portland, ME","ME",38.2,18.8
2010,"Point Judith, RI","RI",35.6,32.2
2010,"Dulac-Chauvin, LA","LA",32.8,45.1
2010,"Coos Bay-Charleston, OR","OR",31,24
2010,"Wanchese-Stumpy Point, NC","NC",25.6,22
2010,"Atlantic City, NJ","NJ",24.2,17.3
2010,"Ilwaco-Chinook, WA","WA",23.6,17.9
2010,"Honolulu, HI","HI",23.5,71.6
2010,"Brownsville-Port Isabel, TX","TX",22.7,52.5
2010,"Rockland, ME","ME",22.6,10.6
2010,"Kenai, AK","AK",21.2,25.1
2010,"Point Pleasant, NJ","NJ",20.9,22.8
2010,"Homer, AK","AK",19.9,56.1
2010,"Port Arthur, TX","TX",19.6,47.4
2010,"Bellingham, WA","WA",18.6,26.9
2010,"Monterey, CA","CA",17.1,4.7
2010,"Stonington, ME","ME",17,45.3
2010,"Ocean City, MD","MD",16.7,8.8
2010,"Hampton Roads Area, VA","VA",16.1,75.4
2010,"Juneau, AK","AK",16,23.8
2010,"Provincetown-Chatham, MA","MA",15.9,19.9
2010,"Lafitte-Barataria, LA","LA",14.9,20.4
2010,"Golden Meadow-Leeville, LA","LA",14.8,21.9
2010,"Palacios, TX","TX",13.9,31.9
2010,"Galveston, TX","TX",13.4,28
2010,"Key West, FL","FL",13.3,50
2010,"Crescent City, CA","CA",13.3,10.6
2010,"Montauk, NY","NY",12.9,17.7
2010,"Boston, MA","MA",12,15.1
2010,"Bon Secour-Gulf Shores, AL","AL",11.3,22.5
2010,"Eureka, CA","CA",10.2,9.7
2010,"Engelhard-Swanquarter, NC","NC",9.2,10.6
2010,"San Francisco Area, CA","CA",8.9,15.1
2010,"Long Beach-Barnegat, NJ","NJ",8.5,25.8
2010,"Shelton, WA","WA",7.7,17.6
2010,"Newport, RI","RI",7.5,6.9
2010,"Fort Myers, FL","FL",7.2,12.4
2010,"Anchorage, AK","AK",7,9.5
2010,"Yakutat, AK","AK",6.8,14.9
2010,"Fort Bragg, CA","CA",6.6,6.8
2010,"Brookings, OR","OR",6.4,5.2
2010,"Port St. Joe, FL","FL",6.3,3.4
2010,"Stonington, CT","CT",6,18.5
2010,"Mayport, FL","FL",6,11
2010,"Gulfport-Biloxi, MS","MS",6,13
2010,"Morgan City-Berwick, LA","LA",5.9,5.7
2010,"Seattle, WA","WA",5.8,22.1
2010,"Delacroix-Yscloskey, LA","LA",5.8,11.7
2010,"Anacortes-La Conner, WA","WA",5.8,13.6
2010,"Santa Barbara, CA","CA",5.7,8.2
2010,"Tampa Bay-St. Petersburg, FL","FL",5.5,12.6
2010,"Neah Bay, WA","WA",5.1,7.7
2010,"Charleston-Mt. Pleasant, SC","SC",4.5,9.9
2010,"Wrangell, AK","AK",4.4,7.9
2010,"Oriental-Vandemere, NC","NC",4.4,8.4
2010,"Hampton Bay-Shinnicock, NY","NY",4.4,5.1
2010,"Cape Canaveral, FL","FL",4.2,6.5
2010,"Blaine, WA","WA",3.8,9
2010,"Apalachicola, FL","FL",3.8,9
2010,"New London, CT","CT",3.2,10.6
2010,"Bayou La Batre, AL","AL",3.1,4.7
2010,"Chincoteague, VA","VA",3,3.5
2010,"Olympia, WA","WA",2.8,16.2
2010,"Panama City, FL","FL",2.5,6.1
2010,"Naples, FL","FL",2.1,7.3
2010,"Tacoma, WA","WA",2,3.8
2010,"Port Townsend, WA","WA",1.6,4.1
2010,"Port Orford, OR","OR",1.5,3.4
2010,"Tillamook, OR","OR",1.4,2.6
2010,"La Push, WA","WA",1,2.5
2009,"Dutch Harbor, AK","AK",506.3,159.7
2009,"Empire-Venice, LA","LA",411.8,67.1
2009,"Reedville, VA","VA",349.4,25.9
2009,"Kodiak, AK","AK",282.9,103.8
2009,"Intracoastal City, LA","LA",244.7,30.2
2009,"Pascagoula-Moss Point, MS","MS",217.4,18.6
2009,"Cameron, LA","LA",178.8,11.9
2009,"New Bedford, MA","MA",170,249.2
2009,"Port Hueneme-Oxnard-Ventura, CA","CA",141.3,42.7
2009,"Gloucester, MA","MA",122.3,50.4
2009,"Naknek, AK","AK",119.4,76.1
2009,"Los Angeles, CA","CA",113.6,28.7
2009,"Astoria, OR","OR",104.4,29.1
2009,"Sitka, AK","AK",78.4,51.3
2009,"Ketchikan, AK","AK",75.9,32.9
2009,"Westport, WA","WA",74.4,29.3
2009,"Cape May-Wildwood, NJ","NJ",63.9,73.4
2009,"Petersburg, AK","AK",55.4,30.7
2009,"Newport, OR","OR",50.2,30.9
2009,"Moss Landing, CA","CA",46.2,4.8
2009,"Cordova, AK","AK",45.5,32.8
2009,"Dulac-Chauvin, LA","LA",42.4,50.9
2009,"Point Judith, RI","RI",39.9,32.4
2009,"Portland, ME","ME",37.3,16.6
2009,"Atlantic City, NJ","NJ",33,22.2
2009,"Coos Bay-Charleston, OR","OR",30.1,22.9
2009,"Seward, AK","AK",29.3,33.1
2009,"Brownsville-Port Isabel, TX","TX",27,41
2009,"Lafitte-Barataria, LA","LA",25.9,25.9
2009,"Golden Meadow-Leeville, LA","LA",25.6,27.4
2009,"Wanchese-Stumpy Point, NC","NC",25.5,23.1
2009,"Honolulu, HI","HI",22.3,59.4
2009,"Galveston, TX","TX",22,35
2009,"Rockland, ME","ME",21.4,6.4
2009,"Bayou La Batre, AL","AL",21,30
2009,"Bellingham, WA","WA",20.8,21.1
2009,"Homer, AK","AK",20.2,43.1
2009,"Palacios, TX","TX",20,27
2009,"Point Pleasant, NJ","NJ",18.4,20.2
2009,"Ilwaco-Chinook, WA","WA",18.4,16.7
2009,"Hampton Roads Area, VA","VA",18,68.1
2009,"Juneau, AK","AK",16.7,20.3
2009,"Provincetown-Chatham, MA","MA",16.1,20
2009,"Port Arthur, TX","TX",16,27
2009,"Crescent City, CA","CA",16,17.6
2009,"Stonington, ME","ME",14.8,26.5
2009,"Delacroix-Yscloskey, LA","LA",13.4,19.7
2009,"Monterey, CA","CA",12.9,1.6
2009,"Gulfport-Biloxi, MS","MS",12.9,19.3
2009,"Shelton, WA","WA",12.4,39.9
2009,"Kenai, AK","AK",12.2,11.5
2009,"Eureka, CA","CA",12.1,12.3
2009,"Montauk, NY","NY",11.5,14.6
2009,"Key West, FL","FL",11.5,26.1
2009,"Boston, MA","MA",11.2,11.9
2009,"Ocean City, MD","MD",8.6,9.5
2009,"Long Beach-Barnegat, NJ","NJ",8.1,21.7
2009,"Anacortes-La Conner, WA","WA",8.1,12.6
2009,"Newport, RI","RI",7.6,7
2009,"Seattle, WA","WA",7.5,15.5
2009,"Engelhard-Swanquarter, NC","NC",7,9.1
2009,"Fort Bragg, CA","CA",6.7,6.3
2009,"Mayport, FL","FL",6.4,9.1
2009,"Brookings, OR","OR",6.2,6.8
2009,"Santa Barbara, CA","CA",6.1,7.1
2009,"Tampa Bay-St. Petersburg, FL","FL",6,12.3
2009,"Fort Myers, FL","FL",6,9.6
2009,"Port St. Joe, FL","FL",5.9,2.8
2009,"San Francisco Area, CA","CA",5.8,5.6
2009,"Yakutat, AK","AK",5.5,10.8
2009,"Anchorage, AK","AK",5.5,5.6
2009,"Morgan City-Berwick, LA","LA",5.4,5.7
2009,"Hampton Bay-Shinnicock, NY","NY",5,5.3
2009,"Bon Secour-Gulf Shores, AL","AL",5,6
2009,"Neah Bay, WA","WA",4.9,6
2009,"Cape Canaveral, FL","FL",4.9,6.2
2009,"Apalachicola, FL","FL",4.7,9.9
2009,"Charleston-Mt. Pleasant, SC","SC",3.9,7.6
2009,"Panama City, FL","FL",3.8,8.4
2009,"Wrangell, AK","AK",3.6,5.5
2009,"Oriental-Vandemere, NC","NC",3.6,7.1
2009,"Naples, FL","FL",3.6,6.3
2009,"Blaine, WA","WA",3.3,7.2
2009,"Stonington, CT","CT",2.8,6.6
2009,"Port Orford, OR","OR",2.6,4.7
2009,"Tacoma, WA","WA",1.9,3.9
2009,"Port Townsend, WA","WA",1.8,3.4
2009,"Olympia, WA","WA",1.8,12.1
2009,"New London, CT","CT",1.7,5.2
2009,"Tillamook, OR","OR",1.6,2.7
2009,"La Push, WA","WA",0.8,1.9
2008,"Dutch Harbor, AK","AK",612.7,195
2008,"Reedville, VA","VA",354.2,23.9
2008,"Empire-Venice, LA","LA",353.2,62.9
2008,"Intracoastal City, LA","LA",254.6,36.6
2008,"Kodiak, AK","AK",250.9,98.7
2008,"Pascagoula-Moss Point, MS","MS",190.2,19.2
2008,"Cameron, LA","LA",171.9,12.7
2008,"New Bedford, MA","MA",146.4,241.3
2008,"Los Angeles, CA","CA",123.6,22.7
2008,"Gloucester, MA","MA",120.2,54.2
2008,"Westport, WA","WA",111.1,43.4
2008,"Naknek, AK","AK",105.2,65.3
2008,"Astoria, OR","OR",99.7,31.7
2008,"Cordova, AK","AK",95.7,50.4
2008,"Cape May-Wildwood, NJ","NJ",82.9,73.7
2008,"Moss Landing, CA","CA",73.5,5.9
2008,"Newport, OR","OR",57.8,32.5
2008,"Sitka, AK","AK",52.7,48.2
2008,"Port Hueneme-Oxnard-Ventura, CA","CA",46.3,20.1
2008,"Ketchikan, AK","AK",46,26.1
2008,"Point Judith, RI","RI",37.6,36.9
2008,"Seward, AK","AK",36.5,23.2
2008,"Dulac-Chauvin, LA","LA",35.6,48.9
2008,"Atlantic City, NJ","NJ",35.3,24.1
2008,"Portland, ME","ME",35.1,22.6
2008,"Petersburg, AK","AK",34.7,26.8
2008,"Rockland, ME","ME",29.6,8.1
2008,"Coos Bay-Charleston, OR","OR",27,20.4
2008,"Honolulu, HI","HI",26,73.3
2008,"Gulfport-Biloxi, MS","MS",24.5,18.6
2008,"Lafitte-Barataria, LA","LA",23.8,30.5
2008,"Point Pleasant, NJ","NJ",23.4,22.1
2008,"Wanchese-Stumpy Point, NC","NC",22.6,22.4
2008,"Brownsville-Port Isabel, TX","TX",20.4,49.3
2008,"Hampton Roads Area, VA","VA",19.3,72.3
2008,"Bayou La Batre, AL","AL",19,36
2008,"Juneau, AK","AK",18.4,16.4
2008,"Ilwaco-Chinook, WA","WA",17.7,15.7
2008,"Stonington, ME","ME",17.4,15.4
2008,"Golden Meadow-Leeville, LA","LA",16.8,23.5
2008,"Provincetown-Chatham, MA","MA",15.3,18.3
2008,"Port Arthur, TX","TX",14.9,39
2008,"Anchorage, AK","AK",14.8,12.3
2008,"Eureka, CA","CA",14.1,9.9
2008,"Palacios, TX","TX",13.6,32.1
2008,"Crescent City, CA","CA",13.6,9.3
2008,"Bellingham, WA","WA",13.6,23.3
2008,"Monterey, CA","CA",13.4,1.5
2008,"Galveston, TX","TX",13.1,33
2008,"Montauk, NY","NY",11.2,14.3
2008,"Boston, MA","MA",10.7,12.5
2008,"Ocean City, MD","MD",10.6,10.6
2008,"Kenai, AK","AK",10.4,10.9
2008,"Shelton, WA","WA",10.3,26.6
2008,"Key West, FL","FL",10.3,38.7
2008,"Delacroix-Yscloskey, LA","LA",10.3,14.9
2008,"Engelhard-Swanquarter, NC","NC",9.4,11
2008,"Tampa Bay-St. Petersburg, FL","FL",7.3,19.1
2008,"Long Beach-Barnegat, NJ","NJ",7.2,22.9
2008,"Newport, RI","RI",6.7,6.5
2008,"Mayport, FL","FL",6.1,13.2
2008,"Morgan City-Berwick, LA","LA",6,4.3
2008,"Fort Myers, FL","FL",5.7,10.7
2008,"Santa Barbara, CA","CA",5.6,7
2008,"Wrangell, AK","AK",5,7.1
2008,"Hampton Bay-Shinnicock, NY","NY",5,5.7
2008,"Bon Secour-Gulf Shores, AL","AL",5,7
2008,"Seattle, WA","WA",4.8,9.5
2008,"Brookings, OR","OR",4.8,4.3
2008,"Cape Canaveral, FL","FL",4.7,8.4
2008,"Oriental-Vandemere, NC","NC",4.6,7.1
2008,"Anacortes-La Conner, WA","WA",4.6,10.1
2008,"Yakutat, AK","AK",4.4,9.3
2008,"Neah Bay, WA","WA",4.3,6.3
2008,"Apalachicola, FL","FL",4.3,29.8
2008,"Chincoteague, VA","VA",4.1,3.6
2008,"Homer, AK","AK",4,6.4
2008,"Darien-Bellville, GA","GA",3.8,5.2
2008,"Charleston-Mt. Pleasant, SC","SC",3.8,7.1
2008,"Panama City, FL","FL",3.7,11
2008,"Olympia, WA","WA",3.6,16.6
2008,"Sneads Ferry-Swansboro, NC","NC",2.5,5.4
