"State","Nmfsname"
"Connecticut","Dory, Buckler"
"Connecticut","Shad, Gizzard"
"Connecticut","Eel, Conger"
"Connecticut","Searobins"
"Connecticut","Tuna, Albacore"
"Connecticut","Wolffish, Atlantic"
"Connecticut","Menhadens"
"Connecticut","Crab, Blue"
"Connecticut","Pollock"
"Connecticut","Tilefishes"
"Connecticut","Crabs, Decapoda (Order)"
"Connecticut","Herring, Atlantic"
"Connecticut","Tunas"
"Connecticut","Vertebrates, Jawed"
"Connecticut","Herring, Blueback"
"Connecticut","Windowpane"
"Connecticut","Sharks, Dogfish"
"Connecticut","Crab, Jonah"
"Connecticut","Weakfish"
"Connecticut","Hake, White"
"Connecticut","Haddock"
"Connecticut","Mackerel, Atlantic"
"Connecticut","Tautog"
"Connecticut","Perch, White"
"Connecticut","Bluefish"
"Connecticut","Crab, Horseshoe"
"Connecticut","Squid, Shortfin Illex"
"Connecticut","Crab, Green"
"Connecticut","Bass, Black Sea"
"Connecticut","Tuna, Yellowfin"
"Connecticut","Conchs, True"
"Connecticut","Flounder, Witch"
"Connecticut","Flounder, American Plaice"
"Connecticut","Harvestfishes"
"Connecticut","Cod, Atlantic"
"Connecticut","Shad, American"
"Connecticut","Skates, Rajidae"
"Connecticut","Hake, Red"
"Connecticut","Shrimp, Marine"
"Connecticut","Porgies"
"Connecticut","Flounder, Yellowtail"
"Connecticut","Flounder, Winter"
"Connecticut","Flounder, Summer"
"Connecticut","Crustaceans"
"Connecticut","Goosefish"
"Connecticut","Hake, Silver"
"Connecticut","Scallop, Sea"
"Connecticut","Oyster, Eastern"
"Connecticut","Lobster, American"
"Connecticut","Clams, Quahog, Mercenaria"
"Delaware","All Species"
"Delaware","Vertebrates, Jawed"
"Delaware","Shad, Gizzard"
"Delaware","Hakes, Red And White"
"Delaware","Windowpane"
"Delaware","Eel, Conger"
"Delaware","Mackerel, Atlantic"
"Delaware","Drum, Black"
"Delaware","Kingfishes"
"Delaware","Tautog"
"Delaware","Sharks, Dogfish"
"Delaware","Harvestfishes"
"Delaware","Dolphinfish"
"Delaware","Catfishes-Bullheads, Other"
"Delaware","Alewife"
"Delaware","Toadfishes, Batrachoididae"
"Delaware","Carp, Common"
"Delaware","Crustaceans"
"Delaware","Croaker, Atlantic"
"Delaware","Menhadens"
"Delaware","Turtles, Snapping"
"Delaware","Bluefish"
"Delaware","Spot"
"Delaware","Flounder, Summer"
"Delaware","Tunas"
"Delaware","Shad, American"
"Delaware","Perch, White"
"Delaware","Conchs, True"
"Delaware","Bass, Black Sea"
"Delaware","Eel, American"
"Delaware","Clams, Quahog, Mercenaria"
"Delaware","Bass, Striped"
"Delaware","Crab, Horseshoe"
"Delaware","Weakfish"
"Delaware","Crab, Blue"
"Florida-East","All Species"
"Florida-East","Porgy, Knobbed"
"Florida-East","Conchs, True"
"Florida-East","Seatrout, Sand"
"Florida-East","Squirrelfishes"
"Florida-East","Scorpionfishes"
"Florida-East","Rosefish, Blackbelly"
"Florida-East","Hind, Speckled"
"Florida-East","Porgy, Jolthead"
"Florida-East","Octopuses"
"Florida-East","Perch, Sand"
"Florida-East","Hind, Rock"
"Florida-East","Grouper, Yellowfin"
"Florida-East","Grouper, Warsaw"
"Florida-East","Shark, Thresher"
"Florida-East","Hind, Red"
"Florida-East","Margate"
"Florida-East","Jack, Bar"
"Florida-East","Porgy, Red"
"Florida-East","Scads"
"Florida-East","Parrotfishes"
"Florida-East","Snapper, Cubera"
"Florida-East","Bigeye"
"Florida-East","Ladyfish"
"Florida-East","Shark, Tiger"
"Florida-East","Graysby"
"Florida-East","Reptiles"
"Florida-East","Snapper, Queen"
"Florida-East","Bass, Black Sea"
"Florida-East","Snappers, Lutjanidae"
