"","PortID","PortName","ExpTotValue","ExpContainerValue","ExpContainerWeight","time","Year","State","PortNameTiCase","County_GEOID","CountyName","ImpContainerValue","ImpContainerWt","TotPortWt","TotPortContainerVal","TotPortVal","rnkTotValue","rnkTotPortWt","rnkExpValue","rnkExpContainerWt","rnkImpContainerVal","rnkImpContainerWt"
"34","5402","ALEXANDRIA, VA",584846,277934,6170,"2019-12","2019"," VA","Alexandria","51059","Fairfax",0,0,6170,277934,584846,121,121,120,101,141,136
"35","5402","ALEXANDRIA, VA",88031,0,0,"2020-12","2020"," VA","Alexandria","51059","Fairfax",0,0,0,0,88031,121,121,120,101,141,136
"36","5402","ALEXANDRIA, VA",10032,0,0,"2021-12","2021"," VA","Alexandria","51059","Fairfax",0,0,0,0,10032,121,121,120,101,141,136
"37","3843","ALPENA, MI",17397494,0,0,"2013-12","2013"," MI","Alpena","26007","Alpena",0,0,0,0,17397494,144,157,145,149,148,144
"38","3843","ALPENA, MI",12942558,0,0,"2014-12","2014"," MI","Alpena","26007","Alpena",0,0,0,0,12942558,144,157,145,149,148,144
"39","3843","ALPENA, MI",10983469,0,0,"2015-12","2015"," MI","Alpena","26007","Alpena",0,0,0,0,10983469,144,157,145,149,148,144
"40","3843","ALPENA, MI",7682141,0,0,"2016-12","2016"," MI","Alpena","26007","Alpena",10393,17313,17313,10393,7692534,144,157,145,149,148,144
"41","3843","ALPENA, MI",5791944,45290,2188,"2017-12","2017"," MI","Alpena","26007","Alpena",0,0,2188,45290,5791944,144,157,145,149,148,144
"42","3843","ALPENA, MI",10714047,0,0,"2018-12","2018"," MI","Alpena","26007","Alpena",33066,3898,3898,33066,10747113,144,157,145,149,148,144
"43","3843","ALPENA, MI",2559453,0,0,"2020-12","2020"," MI","Alpena","26007","Alpena",0,0,0,0,2559453,144,157,145,149,148,144
"44","3843","ALPENA, MI",1226389,0,0,"2021-12","2021"," MI","Alpena","26007","Alpena",0,0,0,0,1226389,144,157,145,149,148,144
"45","3010","ANACORTES, WA",2235356802,420720,148771,"2013-12","2013"," WA","Anacortes","53057","Skagit",80025,825753,974524,500745,2235436827,67,80,73,63,96,95
"46","3010","ANACORTES, WA",1532170101,492100,74251,"2014-12","2014"," WA","Anacortes","53057","Skagit",275324,1622678,1696929,767424,1532445425,67,80,73,63,96,95
"47","3010","ANACORTES, WA",854265896,194783,57582,"2015-12","2015"," WA","Anacortes","53057","Skagit",271276,8260,65842,466059,854537172,67,80,73,63,96,95
"48","3010","ANACORTES, WA",866488615,315464,70196,"2016-12","2016"," WA","Anacortes","53057","Skagit",54134,25880,96076,369598,866542749,67,80,73,63,96,95
"49","3010","ANACORTES, WA",655043311,147894,336769,"2017-12","2017"," WA","Anacortes","53057","Skagit",9427938,621278,958047,9575832,664471249,67,80,73,63,96,95
"50","3010","ANACORTES, WA",1192784311,12232454,30442959,"2018-12","2018"," WA","Anacortes","53057","Skagit",253318,159055,30602014,12485772,1193037629,67,80,73,63,96,95
"51","3010","ANACORTES, WA",901605039,26658043,65484667,"2019-12","2019"," WA","Anacortes","53057","Skagit",266692,119621,65604288,26924735,901871731,67,80,73,63,96,95
"52","3010","ANACORTES, WA",381933206,260377,26003,"2020-12","2020"," WA","Anacortes","53057","Skagit",16274,3720,29723,276651,381949480,67,80,73,63,96,95
"53","3010","ANACORTES, WA",512790185,55860,26889,"2021-12","2021"," WA","Anacortes","53057","Skagit",412206,39622,66511,468066,513202391,67,80,73,63,96,95
"54","3126","ANCHORAGE, AK",14708691643,100063333,42821683,"2013-12","2013"," AK","Anchorage","02170","Matanuska-Susitna",35292958,36072583,78894266,135356291,14743984601,22,33,21,22,60,56
"55","3126","ANCHORAGE, AK",17186215403,1901133307,738246653,"2014-12","2014"," AK","Anchorage","02170","Matanuska-Susitna",38417075,42068107,780314760,1939550382,17224632478,22,33,21,22,60,56
"56","3126","ANCHORAGE, AK",18191007669,2014769024,778129645,"2015-12","2015"," AK","Anchorage","02170","Matanuska-Susitna",50316004,44308076,822437721,2065085028,18241323673,22,33,21,22,60,56
"57","3126","ANCHORAGE, AK",18121730621,1897098119,742091983,"2016-12","2016"," AK","Anchorage","02170","Matanuska-Susitna",44841647,45448691,787540674,1941939766,18166572268,22,33,21,22,60,56
"58","3126","ANCHORAGE, AK",19366125882,1272901724,458001042,"2017-12","2017"," AK","Anchorage","02170","Matanuska-Susitna",35076577,42285856,500286898,1307978301,19401202459,22,33,21,22,60,56
"59","3126","ANCHORAGE, AK",21189263195,1323501521,530058484,"2018-12","2018"," AK","Anchorage","02170","Matanuska-Susitna",25474957,46391004,576449488,1348976478,21214738152,22,33,21,22,60,56
"60","3126","ANCHORAGE, AK",20418668377,1289767479,472769858,"2019-12","2019"," AK","Anchorage","02170","Matanuska-Susitna",22277464,40866235,513636093,1312044943,20440945841,22,33,21,22,60,56
"61","3126","ANCHORAGE, AK",18938518654,1036853119,391728602,"2020-12","2020"," AK","Anchorage","02170","Matanuska-Susitna",20340980,35557275,427285877,1057194099,18958859634,22,33,21,22,60,56
"62","3126","ANCHORAGE, AK",25064586564,1347665821,614054615,"2021-12","2021"," AK","Anchorage","02170","Matanuska-Susitna",8076445,5279843,619334458,1355742266,25072663009,22,33,21,22,60,56
"63","1301","ANNAPOLIS, MD",18649926,1144424,344009,"2013-12","2013"," MD","Annapolis","24003","Anne Arundel",6833476,1095682,1439691,7977900,25483402,130,100,79,89,79,88
"64","1301","ANNAPOLIS, MD",14042488,3855074,914039,"2014-12","2014"," MD","Annapolis","24003","Anne Arundel",10999898,1043350,1957389,14854972,25042386,130,100,79,89,79,88
"65","1301","ANNAPOLIS, MD",8041320,1591250,329864,"2015-12","2015"," MD","Annapolis","24003","Anne Arundel",3738295,485149,815013,5329545,11779615,130,100,79,89,79,88
"66","1301","ANNAPOLIS, MD",4628047,1861859,719271,"2016-12","2016"," MD","Annapolis","24003","Anne Arundel",20904486,1274796,1994067,22766345,25532533,130,100,79,89,79,88
"67","1301","ANNAPOLIS, MD",22707274,12072096,2537281,"2017-12","2017"," MD","Annapolis","24003","Anne Arundel",5089402,2157647,4694928,17161498,27796676,130,100,79,89,79,88
"68","1301","ANNAPOLIS, MD",13814197,5245662,1093006,"2018-12","2018"," MD","Annapolis","24003","Anne Arundel",3784543,939760,2032766,9030205,17598740,130,100,79,89,79,88
"69","1301","ANNAPOLIS, MD",2819434,260264,49827,"2019-12","2019"," MD","Annapolis","24003","Anne Arundel",3065175,1528890,1578717,3325439,5884609,130,100,79,89,79,88
"70","1301","ANNAPOLIS, MD",16166314,604321,150490,"2020-12","2020"," MD","Annapolis","24003","Anne Arundel",3615235,1274943,1425433,4219556,19781549,130,100,79,89,79,88
"71","1301","ANNAPOLIS, MD",5252808,5193615,225445,"2021-12","2021"," MD","Annapolis","24003","Anne Arundel",5071039,4092627,4318072,10264654,10323847,130,100,79,89,79,88
"72","2901","ASTORIA, OR",51248977,1171669,156802,"2013-12","2013"," OR","Astoria","41007","Clatsop",1538096,495662,652464,2709765,52787073,118,119,113,110,92,100
"73","2901","ASTORIA, OR",53490272,173506,115329,"2014-12","2014"," OR","Astoria","41007","Clatsop",3042768,183021,298350,3216274,56533040,118,119,113,110,92,100
"74","2901","ASTORIA, OR",47418585,1082487,396193,"2015-12","2015"," OR","Astoria","41007","Clatsop",3281815,58904,455097,4364302,50700400,118,119,113,110,92,100
"75","2901","ASTORIA, OR",37733429,72072,18232,"2016-12","2016"," OR","Astoria","41007","Clatsop",2495780,147933,166165,2567852,40229209,118,119,113,110,92,100
"76","2901","ASTORIA, OR",47934723,0,0,"2017-12","2017"," OR","Astoria","41007","Clatsop",367897,43775,43775,367897,48302620,118,119,113,110,92,100
"77","2901","ASTORIA, OR",32773078,49905,14964,"2018-12","2018"," OR","Astoria","41007","Clatsop",593154,168628,183592,643059,33366232,118,119,113,110,92,100
"78","2901","ASTORIA, OR",10337764,0,0,"2019-12","2019"," OR","Astoria","41007","Clatsop",439080,147332,147332,439080,10776844,118,119,113,110,92,100
"79","2901","ASTORIA, OR",558046,49940,9724,"2020-12","2020"," OR","Astoria","41007","Clatsop",1319877,256726,266450,1369817,1877923,118,119,113,110,92,100
"80","2901","ASTORIA, OR",1135227,170451,153177,"2021-12","2021"," OR","Astoria","41007","Clatsop",559755,85706,238883,730206,1694982,118,119,113,110,92,100
"81","1704","ATLANTA, GA",13308066507,0,0,"2013-12","2013"," GA","Atlanta","13067","Cobb",0,0,0,0,13308066507,23,172.5,168,168,170,170
"82","1704","ATLANTA, GA",14028323779,0,0,"2014-12","2014"," GA","Atlanta","13067","Cobb",0,0,0,0,14028323779,23,172.5,168,168,170,170
"83","1704","ATLANTA, GA",13868067477,0,0,"2015-12","2015"," GA","Atlanta","13067","Cobb",0,0,0,0,13868067477,23,172.5,168,168,170,170
"84","1704","ATLANTA, GA",15250754316,0,0,"2016-12","2016"," GA","Atlanta","13067","Cobb",0,0,0,0,15250754316,23,172.5,168,168,170,170
"85","1704","ATLANTA, GA",16733551702,0,0,"2017-12","2017"," GA","Atlanta","13067","Cobb",0,0,0,0,16733551702,23,172.5,168,168,170,170
"86","1704","ATLANTA, GA",20736563427,0,0,"2018-12","2018"," GA","Atlanta","13067","Cobb",0,0,0,0,20736563427,23,172.5,168,168,170,170
"87","1704","ATLANTA, GA",21861308391,0,0,"2019-12","2019"," GA","Atlanta","13067","Cobb",0,0,0,0,21861308391,23,172.5,168,168,170,170
"88","1704","ATLANTA, GA",15489752920,0,0,"2020-12","2020"," GA","Atlanta","13067","Cobb",0,0,0,0,15489752920,23,172.5,168,168,170,170
